College Business Admin,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"3,979",100.0%,650,100.0%,61,100.0%,,,"4,690",100.0%,
,Female,"2,003",50.3%,264,40.6%,15,24.6%,,,"2,282",48.7%,
,Male,"1,976",49.7%,386,59.4%,46,75.4%,,,"2,408",51.3%,
Ethnicity,White Only (NEW),"3,097",77.8%,429,66.0%,29,47.5%,,,"3,555",75.8%,
,Black Only + 2 or more/1 Black (NEW),114,2.9%,22,3.4%,,,,,136,2.9%,
,Hispanic or Latino of any Race (NEW),466,11.7%,51,7.8%,1,1.6%,,,518,11.0%,
,Asian Only (NEW),187,4.7%,33,5.1%,7,11.5%,,,227,4.8%,
,Native Hawaii Only (New),7,.2%,1,.2%,,,,,8,.2%,
,American Indian Only (NEW),9,.2%,2,.3%,,,,,11,.2%,
,International,41,1.0%,104,16.0%,23,37.7%,,,168,3.6%,
,2 or More/Excluding Black (NEW),56,1.4%,4,.6%,,,,,60,1.3%,
,Unknown or Not Reported,2,.1%,4,.6%,1,1.6%,,,7,.1%,
,Total,"3,979",100.0%,650,100.0%,61,100.0%,,,"4,690",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"2,302",57.9%,6,.9%,,,,,"2,308",49.2%,
,22-25,"1,628",40.9%,410,63.1%,2,3.3%,,,"2,040",43.5%,
,26-30,27,.7%,108,16.6%,19,31.1%,,,154,3.3%,
,31-39,11,.3%,70,10.8%,35,57.4%,,,116,2.5%,
,40+,11,.3%,56,8.6%,5,8.2%,,,72,1.5%,
Enrollment Status,1st Time in College,11,.3%,,,,,,,11,.2%,
,1st Time PB,,,1,.2%,,,,,1,.0%,
,1st Time Graduate,,,77,11.8%,2,3.3%,,,79,1.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,8,.2%,1,.2%,,,,,9,.2%,
,Continuing,"3,960",99.5%,571,87.8%,59,96.7%,,,"4,590",97.9%,
Tuition Status,Resident Tuition,"3,801",95.5%,496,76.3%,12,19.7%,,,"4,309",91.9%,
,Non-Resident Tuition,52,1.3%,43,6.6%,3,4.9%,,,98,2.1%,
,Tuition Exemption/Waiver,126,3.2%,111,17.1%,46,75.4%,,,283,6.0%,
Residency Status,Texas Resident,"3,870",97.3%,521,80.2%,17,27.9%,,,"4,408",94.0%,
,"Non-TX, US Resident",71,1.8%,27,4.2%,21,34.4%,,,119,2.5%,
,"Non-TX, Non-US Resident",38,1.0%,102,15.7%,23,37.7%,,,163,3.5%,
SCH Categories,< 6 SCH,27,.7%,26,4.0%,2,3.3%,,,55,1.2%,
,6-8 SCH,68,1.7%,164,25.2%,,,,,232,4.9%,
,9-11 SCH,263,6.6%,196,30.2%,58,95.1%,,,517,11.0%,
,12-14 SCH,"2,360",59.3%,175,26.9%,1,1.6%,,,"2,536",54.1%,
,15-17 SCH,"1,181",29.7%,27,4.2%,,,,,"1,208",25.8%,
,>17 SCH,80,2.0%,62,9.5%,,,,,142,3.0%,
Ft/Pt: TAMU Status,Less Than Half Time,19,.5%,9,1.4%,2,3.3%,,,30,.6%,
,Half-Time,318,8.0%,125,19.2%,,,,,443,9.4%,
,Full-Time,"3,642",91.5%,516,79.4%,59,96.7%,,,"4,217",89.9%,
Top 10% Texas High School,No,"1,994",50.1%,648,99.7%,59,96.7%,,,"2,701",57.6%,
,Yes,"1,985",49.9%,2,.3%,2,3.3%,,,"1,989",42.4%,
First Generation,No,"3,088",77.6%,10,1.5%,7,11.5%,,,"3,105",66.2%,
,Unknown,93,2.3%,636,97.8%,52,85.2%,,,781,16.7%,
,Yes,798,20.1%,4,.6%,2,3.3%,,,804,17.1%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
