Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,AERL,2,1,,,,3,,,,,,,,3,
,AERO,,,,1,,1,,,,,,,,1,
,BMEL,,1,,,,1,,,,,,,,1,
,BMEN,,,,,,,,,,,,,,,
,CECL,1,,,,,1,,,,,,,,1,
,CECN,,,,1,,1,,,,,,,,1,
,CEEL,,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,,
,CHEL,,1,,,,1,,,,,,,,1,
,CHEN,,,,1,,1,,,,,,,,1,
,CPSC,,,1,,,1,,,,,,,,1,
,CPSL,,,,,,,,,,,,,,,
,CVEL,,,,,,,,,,,,,,,
,CVEN,,,,1,,1,,,,,,,,1,
,ELEL,,,1,,,1,,,,,,,,1,
,ELEN,,,,1,,1,,,,,,,,1,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,1,,,,1,,,,,,,,1,
,IDIS,,,,1,,1,,,,,,,,1,
,INEL,,1,,,,1,,,,,,,,1,
,INEN,,,1,,,1,,,,,,,,1,
,ITDE,,,,,,,,,,,,,,,
,MEEL,,,,,,,,,,,,,,,
,MEEN,,1,,5,,6,,,,1,1,,,7,
,MSEN,,,,,,,,,,,,,,,
,NUEL,,1,,,,1,,,,,,,,1,
,NUEN,,,1,,,1,,,,,,,,1,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,PETL,,1,,,,1,,,,,,,,1,
,RHEL,,,,,,,,,,,,,,,
,RHEN,,,,,,,,,,,,,,,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,3,8,4,11,,26,,,,1,1,,,27,
G. Bush School of Govt,CAIA,,,,,,,,,,,,,,,
,CHLS,,,,,,,1,,1,,,,,1,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,,
,PSAA,,,,,,,,,,,,,,,
,Subtotal,,,,,,,1,,1,,,,,1,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
