Headcount by Major by Ethnic Origin by Gender Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,23,40,1,2,4,13,4,3,,,2,,33,33,,,2,,69,91,160,
,COMG,1,8,,,1,2,,1,,,,,8,12,,1,,,10,24,34,
,COSC,24,285,,4,9,35,1,4,,,,4,,1,1,1,,1,35,335,370,
,COSL,13,155,1,6,8,26,1,,,,,,,2,,4,,,23,193,216,
,ENDL,62,53,,1,23,21,3,1,,,,,,,4,2,,,92,78,170,
,ENDS,66,60,,3,15,22,1,3,,,1,,2,2,,2,,,85,92,177,
,LAND,28,43,,1,4,8,4,,,,,,20,3,,3,,,56,58,114,
,LANL,11,11,1,1,6,7,,,,,,,,,1,1,,,19,20,39,
,LDEV,5,14,,2,,4,,,,,,,2,9,,,,,7,29,36,
,URPL,12,16,,1,1,2,,,,,,1,9,4,,,,1,22,25,47,
,URSC,13,36,2,6,11,12,1,3,,,,1,15,27,,,,,42,85,127,
,USAR,6,19,,2,6,6,,1,,,,,,1,,1,,,12,30,42,
,VISL,43,47,,3,7,12,1,2,,,1,,1,,,2,,,53,66,119,
,VIST,32,49,,1,4,7,2,4,,,,,6,9,,,,,44,70,114,
,Subtotal,339,836,5,33,99,177,18,22,,,4,6,96,103,6,17,2,2,569,"1,196","1,765",
Business Admin,ACCT,357,291,15,9,41,25,14,24,1,,,2,14,14,3,3,,1,445,369,814,
,AGBU,3,4,,,,,,,,,,,,,,,,,3,4,7,
,BHNR,62,42,2,3,1,6,1,1,,,1,1,,1,1,1,,,68,55,123,
,BUAD,532,576,21,16,110,98,31,40,,3,1,2,9,11,15,11,1,2,720,759,"1,479",
,BUAG,4,,,,,,,,,,,,,,,,,,4,,4,
,EMBA,12,50,1,5,2,15,1,5,,,,,1,,,,,2,17,77,94,
,FINC,178,345,5,5,15,44,9,27,,1,2,1,1,14,6,,1,,217,437,654,
,INFO,100,179,9,9,29,29,12,21,,1,,,2,4,1,4,,,153,247,400,
,MGMT,129,124,10,5,19,9,9,4,,1,1,,2,3,5,1,,,175,147,322,
,MISY,13,25,2,,3,4,2,1,,,,,22,55,1,1,,,43,86,129,
,MKTG,284,87,11,2,41,14,14,5,,,,,6,6,2,2,,,358,116,474,
,MLER,7,29,,,1,2,1,1,,,,,,1,,,,,9,33,42,
,USBU,55,67,4,2,6,4,1,3,1,,,,1,1,2,1,,,70,78,148,
,Subtotal,"1,736","1,819",80,56,268,250,95,132,2,6,5,6,58,110,36,24,2,5,"2,282","2,408","4,690",
Education,BIED,2,,,,6,1,,,,,,,2,,,,,,10,1,11,
,CPSY,9,3,5,2,9,5,2,1,,,,,1,,1,,1,,28,11,39,
,EDAD,79,63,27,17,27,19,3,,,,1,1,1,,1,,1,1,140,101,241,
,EDCI,218,42,51,12,35,11,5,1,,,2,1,35,20,6,,,2,352,89,441,
,EDHL,233,19,10,3,47,2,9,2,,,1,,,,4,,,,304,26,330,
,EDIS,539,24,13,2,72,7,3,,,,1,,2,,6,,1,,637,33,670,
,EDKI,248,138,8,4,53,39,7,5,,,,,2,1,8,3,,,326,190,516,
,EDSM,32,81,4,8,9,12,,,,,,,1,,,1,1,,47,102,149,
,EDTC,13,6,,,2,2,,,,,,,4,2,1,,,,20,10,30,
,EHRD,48,36,21,6,18,6,6,4,,,,,15,7,1,1,1,,110,60,170,
,EPSY,50,12,8,2,18,6,5,,,,,,25,7,2,,,1,108,28,136,
,HEED,18,2,4,2,2,2,4,,,,,,3,1,1,,,1,32,8,40,
,HLTH,215,19,10,1,36,6,9,,,,3,,,,4,,,,277,26,303,
,HRDL,64,22,4,6,10,8,3,1,,,,,,1,1,1,,,82,39,121,
,HRDV,89,32,1,1,12,6,3,4,,,,,,1,1,,,1,106,45,151,
,INST,695,36,8,1,92,8,12,2,1,,1,,2,,9,1,,,820,48,868,
,ISNC,,1,,,,,,,,,,,,,,,,,,1,1,
,KINE,136,115,6,6,20,10,3,5,,,2,2,7,19,1,,,,175,157,332,
,NUTR,2,,,,,,,,,,,,,,,,,,2,,2,
,PHED,,1,,,,,,,,,,,,,,,,,,1,1,
,SPED,11,,2,,4,,1,,,,,,,,,,,,18,,18,
,SPMT,69,137,1,7,11,12,1,2,,,,,1,3,1,2,,,84,163,247,
,SPSY,21,5,3,,8,3,2,,,,,,2,,,1,,,36,9,45,
,TCMG,,31,,,2,5,1,6,,,,,,,1,,,,4,42,46,
,TCML,5,29,,,6,14,1,1,,,,,,,,,,,12,44,56,
,TECR,1,,,,,,,,,,,,,,,,,,1,,1,
,USEH,3,,,,,,,,,,,,,,,,,,3,,3,
,Subtotal,"2,800",854,186,80,499,184,80,34,1,,11,4,103,62,49,10,5,6,"3,734","1,234","4,968",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
