College Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,5,10,15,2,,2,2,1,3,2,2,4,,,,,1,1,1,,1,,1,1,,,,12,15,27,
TAMU Age Categories,18-21,3,4,7,1,,1,2,1,3,2,1,3,,,,,,,,,,,,,,,,8,6,14,
,22-25,2,3,5,1,,1,,,,,1,1,,,,,1,1,1,,1,,1,1,,,,4,6,10,
,26-30,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,31-39,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,2,4,6,,,,2,,2,2,1,3,,,,,1,1,,,,,,,,,,6,6,12,
,Junior,2,5,7,2,,2,,,,,,,,,,,,,1,,1,,1,1,,,,5,6,11,
,Senior,,1,1,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,3,3,
,PB,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Tuition Status,Resident Tuition,4,10,14,2,,2,2,1,3,2,1,3,,,,,,,,,,,1,1,,,,10,13,23,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,1,,1,,,,,,,,1,1,,,,,1,1,1,,1,,,,,,,2,2,4,
Residency Status,Texas Resident,4,10,14,2,,2,2,1,3,2,1,3,,,,,1,1,,,,,1,1,,,,10,14,24,
,"Non-TX, US Resident",1,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,2,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
SCH Categories,< 6 SCH,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,2,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,6,7,2,,2,2,1,3,1,1,2,,,,,,,1,,1,,,,,,,7,8,15,
,15-17 SCH,3,4,7,,,,,,,1,1,2,,,,,,,,,,,1,1,,,,4,6,10,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,2,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,4,10,14,2,,2,2,1,3,2,2,4,,,,,,,1,,1,,1,1,,,,11,14,25,
Top 10% Texas High School,No,2,9,11,2,,2,2,1,3,1,2,3,,,,,1,1,1,,1,,1,1,,,,8,14,22,
,Yes,3,1,4,,,,,,,1,,1,,,,,,,,,,,,,,,,4,1,5,
First Generation,No,3,6,9,1,,1,2,1,3,1,2,3,,,,,,,,,,,1,1,,,,7,10,17,
,Unknown,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,1,1,2,
,Yes,2,4,6,1,,1,,,,1,,1,,,,,,,,,,,,,,,,4,4,8,
Dorm / Off-campus students,Off-campus,4,6,10,1,,1,1,,1,1,2,3,,,,,1,1,1,,1,,1,1,,,,8,10,18,
,Dorm (On-campus),1,4,5,1,,1,1,1,2,1,,1,,,,,,,,,,,,,,,,4,5,9,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
