Headcount by Major by Ethnic Origin Spring 2011,,,,,,,,,,,,
Spring 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Veterinary Medicine,BIMS,1014,43,272,148,1,7,31,26,1,1543,
,GENE,6,,,,,,,,,6,
,LAMD,2,,1,1,,,,,,4,
,STJR,3,,,,,,6,,,9,
,TOXI,8,1,,,,,7,,,16,
,USVM,,,,1,,,,,,1,
,VMSC,1,,,,,,,,,1,
,VPAT,9,,1,,,,3,,,13,
,VPHY,1,,,,,,,,,1,
,VTMD,437,4,50,14,,1,,1,7,514,
,VTMI,6,1,,1,,,4,,,12,
,VTMS,1,,,,,,,,,1,
,,"1,488",49,324,165,1,8,51,27,8,"2,121",
General Studies,GEST,2419,197,740,172,9,9,40,62,8,3656,
,TEAM,660,13,117,26,1,1,1,15,2,836,
,,"3,079",210,857,198,10,10,41,77,10,"4,492",
Other - Special Populations,MARB,2,,1,,,,1,,,4,
,MARM,3,,,,,,,,,3,
,MDSC,2,,,,,,,1,1,4,
,OCRE,1,,,,,,,,,1,
,PHLT,6,,3,,,,1,,2,12,
,REEP,1,,,,,,63,,1,65,
,,15,,4,,,,65,1,4,89,
,,31092,1607,6719,2002,53,160,3976,687,126,46422,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,
