Headcount by Major by Level by Entry Status Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
Science,APHY,,,,,,,,,1,,7,,,8,
,APMS,1,1,1,108,,,,,,,,,,111,
,BIOL,6,13,3,"1,165",,,,23,11,,33,,,"1,254",
,BMCB,,2,,101,,,,,,,,,,103,
,BOTN,,,,,,,,,1,,2,,,3,
,CHEM,,3,,211,,2,,76,62,,134,,,488,
,GENE,,,,,,,,,,,3,,,3,
,MATH,2,4,,210,2,9,,50,8,,70,,,355,
,MBIO,1,1,1,73,,,,4,2,,10,,,92,
,MEPS,,,,,,,,,,,2,,,2,
,MSEN,,,,,,,,,,,1,,,1,
,PHYS,1,3,2,126,,2,,53,24,,81,,,292,
,STAT,,,,,18,11,1,88,8,,48,,,174,
,USSC,,,1,17,,,,,,,,,,18,
,ZOOL,1,,,86,,,,2,,,14,,,103,
,Subtotal,12,27,8,"2,097",20,24,1,296,117,,405,,,"3,007",
Veterinary Medicine,BIMS,10,1,1,"1,456",,,,41,8,,26,,,"1,543",
,GENE,,,,,,,,1,,,5,,,6,
,LAMD,,,,,,,,4,,,,,,4,
,STJR,,,,,,,,9,,,,,,9,
,TOXI,,,,,,,,4,1,,11,,,16,
,USVM,,,,1,,,,,,,,,,1,
,VMSC,,,,,,,,1,,,,,,1,
,VPAT,,,,,,,,3,2,,8,,,13,
,VPHY,,,,,,,,,,,1,,,1,
,VTMD,,,,,,,,,,,,1,513,514,
,VTMI,,,,,,,,1,2,,9,,,12,
,VTMS,,,,,,,,1,,,,,,1,
,Subtotal,10,1,1,"1,457",,,,65,13,,60,1,513,"2,121",
General Studies,GEST,15,98,51,"3,492",,,,,,,,,,"3,656",
,TEAM,,,,836,,,,,,,,,,836,
,Subtotal,15,98,51,"4,328",,,,,,,,,,"4,492",
Other - Special Populations,MARB,,,,,2,,,2,,,,,,4,
,MARM,,,,,,,,3,,,,,,3,
,MDSC,,,,,,,,4,,,,,,4,
,OCRE,,,,1,,,,,,,,,,1,
,PHLT,,,,,7,,,5,,,,,,12,
,REEP,,,,54,2,,,9,,,,,,65,
,Subtotal,,,,55,11,,,23,,,,,,89,
University,Total,118,828,274,"35,732",119,379,15,"4,492",573,9,"3,369",1,513,"46,422",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
