Demographic  Summary Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Spring 2011,,,,,,,,
Spring 2011,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,56,75,107,99,139,476,
Gender,Female,30,28,41,39,50,188,
,Male,26,47,66,60,89,288,
Academic Major,CEEN,,,,1,,1,
,CHEN,,19,21,15,27,82,
,ELEN,,19,23,28,34,104,
,GEST,56,,,,,56,
,MEEN,,25,33,22,25,105,
,PETE,,12,30,33,50,125,
,PETL,,,,,3,3,
Enrollment Status,,14,5,79,94,135,327,
,1st Time In College,26,69,22,,,117,
,RA,2,1,,3,1,7,
,SO,14,,,,,14,
,1st Time Transfer,,,6,2,3,11,
SCH Categories,< 6 SCH,15,,,,3,18,
,6-8 SCH,10,,,1,4,15,
,9-11 SCH,15,2,4,8,15,44,
,12-14 SCH,14,35,29,21,32,131,
,15-17 SCH,2,29,71,60,77,239,
,>17 SCH,,9,3,9,8,29,
TAMU Age Categories,<18,1,1,,,,2,
,18-21,47,74,93,67,37,318,
,22-25,8,,14,30,96,148,
,26-30,,,,1,6,7,
,31-39,,,,1,,1,
ft/pt: TAMU Status,Full-Time,16,73,103,90,117,399,
,Half-Time,25,2,4,9,19,59,
,Less Than Half-Time,15,,,,3,18,
"Prepared by OISP, 29 Mar 11",,,,,,,,
