Headcount by Major by Ethnic Origin by Gender Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,AMST,3,6,1,,2,1,,,,,,,,,,,,,6,7,13,
,ANTH,131,82,7,2,34,7,3,3,,,1,,5,9,5,,,1,186,104,290,
,CLSS,8,6,,,1,2,,,,,,,,,,,,,9,8,17,
,COMM,495,126,20,14,78,22,9,4,1,,5,,7,6,15,2,1,,631,174,805,
,ECON,74,294,3,7,12,62,13,22,2,1,1,1,34,61,,11,,2,139,461,600,
,ENGL,440,127,19,4,91,35,11,5,1,,2,3,15,11,9,5,,1,588,191,779,
,FREN,15,,1,,2,,2,1,,,,,,,,,,,20,1,21,
,GERM,1,2,,,,,,,,,,,,1,,,,,1,3,4,
,HISP,6,2,,,9,7,,,,,,,,7,,,,,15,16,31,
,HIST,189,410,4,18,35,65,2,5,,,1,1,4,2,8,8,1,3,244,512,756,
,INTS,252,156,8,8,105,48,6,8,1,1,,1,4,3,7,4,,1,383,230,613,
,MODL,3,2,1,,3,1,,,,,,,,1,,,,,7,4,11,
,MUSC,7,9,,1,3,4,2,,,,,,,,,,,1,12,15,27,
,NRSC,,1,,,,1,,1,,,,,,1,,,,,,4,4,
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1,
,PERF,4,1,,,,,,,,,,,1,,,,,,5,1,6,
,PHIL,22,52,1,2,4,11,2,4,,,,2,,2,,1,,2,29,76,105,
,POLS,183,363,21,20,44,70,13,18,,,1,1,9,3,4,6,1,4,276,485,761,
,PSYC,690,211,54,15,208,74,47,26,,,1,3,7,5,18,2,4,1,"1,029",337,"1,366",
,RUSS,5,4,,1,1,,,,,,,,,,,,,,6,5,11,
,SOCI,199,88,44,16,83,47,12,3,1,,4,,7,4,3,3,1,1,354,162,516,
,SPAN,37,7,,,28,13,,1,,,,,,,1,,1,,67,21,88,
,TCMS,63,48,4,4,7,9,4,5,,1,,,,1,,3,,,78,71,149,
,THAR,21,6,1,,7,6,2,,,,,,,,1,,,,32,12,44,
,USLA,6,2,1,,1,,,,,,,,,,,,,,8,2,10,
,WGST,5,,1,,8,,,,,,,,,,,,,,14,,14,
,Subtotal,"2,860","2,005",191,112,766,485,128,106,6,3,16,12,93,117,71,45,9,17,"4,140","2,902","7,042",
Science,APHY,,4,,,1,1,,,,,1,,,,1,,,,3,5,8,
,APMS,35,40,,6,4,8,4,5,,,,,1,4,3,,1,,48,63,111,
,BIOL,391,293,35,16,161,101,90,89,2,,4,3,26,12,18,13,,,727,527,"1,254",
,BMCB,28,30,1,,8,17,6,5,,,,,1,2,1,4,,,45,58,103,
,BOTN,1,1,,,,1,,,,,,,,,,,,,1,2,3,
,CHEM,103,134,5,9,30,26,11,21,,,,2,49,89,3,4,1,1,202,286,488,
,GENE,,2,,,,,,,,,,,,1,,,,,,3,3,
,MATH,104,101,5,1,17,28,9,5,,,,1,24,51,3,5,,1,162,193,355,
,MBIO,33,19,1,3,8,8,2,6,,,,1,8,1,2,,,,54,38,92,
,MEPS,,,,,,,1,,,,,,1,,,,,,2,,2,
,MSEN,,,,,,,,,,,,,,1,,,,,,1,1,
,PHYS,24,122,1,5,6,30,1,8,,1,,,9,79,1,4,,1,42,250,292,
,STAT,24,55,3,2,2,3,14,9,,,,1,28,29,,1,1,2,72,102,174,
,USSC,5,9,,2,1,1,,,,,,,,,,,,,6,12,18,
,ZOOL,59,30,2,,8,,1,,,,,,1,,1,1,,,72,31,103,
,Subtotal,807,840,53,44,246,224,139,148,2,1,5,8,148,269,33,32,3,5,"1,436","1,571","3,007",
Veterinary Medicine,BIMS,723,291,35,8,183,89,75,73,1,,4,3,16,15,17,9,,1,"1,054",489,"1,543",
,GENE,5,1,,,,,,,,,,,,,,,,,5,1,6,
,LAMD,2,,,,1,,1,,,,,,,,,,,,4,,4,
,STJR,2,1,,,,,,,,,,,5,1,,,,,7,2,9,
,TOXI,6,2,1,,,,,,,,,,4,3,,,,,11,5,16,
,USVM,,,,,,,,1,,,,,,,,,,,,1,1,
,VMSC,1,,,,,,,,,,,,,,,,,,1,,1,
,VPAT,7,2,,,,1,,,,,,,1,2,,,,,8,5,13,
,VPHY,1,,,,,,,,,,,,,,,,,,1,,1,
,VTMD,330,107,3,1,30,20,13,1,,,1,,,,1,,6,1,384,130,514,
,VTMI,5,1,1,,,,1,,,,,,2,2,,,,,9,3,12,
,VTMS,1,,,,,,,,,,,,,,,,,,1,,1,
,Subtotal,"1,083",405,40,9,214,110,90,75,1,,5,3,28,23,18,9,6,2,"1,485",636,"2,121",
General Studies,GEST,"1,072","1,347",96,101,353,387,57,115,6,3,2,7,10,30,28,34,4,4,"1,628","2,028","3,656",
,TEAM,322,338,8,5,58,59,10,16,,1,,1,1,,9,6,2,,410,426,836,
,Subtotal,"1,394","1,685",104,106,411,446,67,131,6,4,2,8,11,30,37,40,6,4,"2,038","2,454","4,492",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
