College Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,3,15,18,,1,1,1,4,5,,,,,,,,,,1,,1,,2,2,,,,5,22,27,
TAMU Age Categories,18-21,3,10,13,,,,,,,,,,,,,,,,1,,1,,1,1,,,,4,11,15,
,22-25,,3,3,,1,1,,3,3,,,,,,,,,,,,,,,,,,,,7,7,
,26-30,,2,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,3,
,31-39,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,1,1,2,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Sophomore,3,10,13,,,,1,2,3,,,,,,,,,,,,,,2,2,,,,4,14,18,
,Junior,,4,4,,1,1,,1,1,,,,,,,,,,1,,1,,,,,,,1,6,7,
,Senior,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,3,15,18,,,,1,4,5,,,,,,,,,,,,,,2,2,,,,4,21,25,
,Non-Resident Tuition,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,1,1,2,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,3,15,18,,,,1,4,5,,,,,,,,,,,,,,2,2,,,,4,21,25,
,"Non-TX, US Resident",,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,3,3,
,9-11 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,12-14 SCH,3,11,14,,1,1,1,1,2,,,,,,,,,,1,,1,,2,2,,,,5,15,20,
,15-17 SCH,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,1,1,,,,,3,3,,,,,,,,,,,,,,,,,,,,4,4,
,Full-Time,3,14,17,,1,1,1,1,2,,,,,,,,,,1,,1,,2,2,,,,5,18,23,
Top 10% Texas High School,No,3,15,18,,1,1,1,4,5,,,,,,,,,,1,,1,,2,2,,,,5,22,27,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,2,10,12,,1,1,,1,1,,,,,,,,,,,,,,2,2,,,,2,14,16,
,Unknown,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,1,1,2,
,Yes,1,4,5,,,,1,3,4,,,,,,,,,,,,,,,,,,,2,7,9,
Dorm / Off-campus students,Off-campus,3,14,17,,1,1,1,4,5,,,,,,,,,,1,,1,,2,2,,,,5,21,26,
,Dorm (On-campus),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
