Texas A&M University Student Enrollment Summary Student Head Count by Level,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
"Universiity Summary,, Spriing 2011",,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
College,Total,"36,952",100.0%,"5,005",100.0%,"3,951",100.0%,514,100.0%,"46,422",100.0%,
,Agriculture,"5,265",14.2%,738,14.7%,615,15.6%,,,"6,618",14.3%,
,Architecture,"1,330",3.6%,331,6.6%,104,2.6%,,,"1,765",3.8%,
,Business Admin,"3,979",10.8%,650,13.0%,61,1.5%,,,"4,690",10.1%,
,Education,"3,666",9.9%,606,12.1%,696,17.6%,,,"4,968",10.7%,
,Engineering,"7,615",20.6%,"1,497",29.9%,"1,218",30.8%,,,"10,330",22.3%,
,G. Bush School of Govt,,,311,6.2%,,,,,311,.7%,
,Geosciences,651,1.8%,177,3.5%,161,4.1%,,,989,2.1%,
,Liberal Arts,"6,286",17.0%,255,5.1%,501,12.7%,,,"7,042",15.2%,
,Science,"2,144",5.8%,341,6.8%,522,13.2%,,,"3,007",6.5%,
,Veterinary Medicine,"1,469",4.0%,65,1.3%,73,1.8%,514,100.0%,"2,121",4.6%,
,General Studies,"4,492",12.2%,,,,,,,"4,492",9.7%,
,Other - Special Populations,55,.1%,34,.7%,,,,,89,.2%,
Gender,Female,"17,596",47.6%,"2,072",41.4%,"1,567",39.7%,384,74.7%,"21,619",46.6%,
,Male,"19,356",52.4%,"2,933",58.6%,"2,384",60.3%,130,25.3%,"24,803",53.4%,
Ethnicity,White Only (NEW),"26,663",72.2%,"2,608",52.1%,"1,384",35.0%,437,85.0%,"31,092",67.0%,
,Black Only + 2 or more/1 Black (NEW),"1,225",3.3%,152,3.0%,226,5.7%,4,.8%,"1,607",3.5%,
,Hispanic or Latino of any Race (NEW),"5,936",16.1%,424,8.5%,309,7.8%,50,9.7%,"6,719",14.5%,
,Asian Only (NEW),"1,684",4.6%,194,3.9%,110,2.8%,14,2.7%,"2,002",4.3%,
,Native Hawaii Only (New),48,.1%,1,.0%,4,.1%,,,53,.1%,
,American Indian Only (NEW),137,.4%,11,.2%,11,.3%,1,.2%,160,.3%,
,International,583,1.6%,"1,533",30.6%,"1,860",47.1%,,,"3,976",8.6%,
,2 or More/Excluding Black (NEW),614,1.7%,47,.9%,25,.6%,1,.2%,687,1.5%,
,Unknown or Not Reported,62,.2%,35,.7%,22,.6%,7,1.4%,126,.3%,
,Total,"36,952",100.0%,"5,005",100.0%,"3,951",100.0%,514,100.0%,"46,422",100.0%,
TAMU Age Categories,<18,4,.0%,,,,,,,4,.0%,
,18-21,"21,777",58.9%,15,.3%,1,.0%,1,.2%,"21,794",46.9%,
,22-25,"14,186",38.4%,"2,559",51.1%,321,8.1%,272,52.9%,"17,338",37.3%,
