Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,1,1,,,1,
,APMS,,,,,,,,,,,,,,,
,BIOL,2,1,2,2,,7,,,,,,,,7,
,BMCB,,,,,,,,,,,,,,,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,1,,,,1,,,,1,1,,,2,
,GENE,,,,,,,,,,,,,,,
,MATH,,,,1,,1,,,,,,,,1,
,MBIO,1,,,,,1,,,,,,,,1,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,,,,,,
,STAT,,,,,,,1,,1,,,,,1,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,,,,,,,,,,,,,,
,Subtotal,3,2,2,3,,10,1,,1,2,2,,,13,
Veterinary Medicine,BIMS,2,2,2,1,,7,,,,,,,,7,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,1,1,1,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,2,2,2,1,,7,,,,,,1,1,8,
General Studies,GEST,2,7,,,,9,,,,,,,,9,
,TEAM,1,,,,,1,,,,,,,,1,
,Subtotal,3,7,,,,10,,,,,,,,10,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,OCRE,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,13,32,35,57,,137,2,9,11,11,11,1,1,160,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
