College Education,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,3,,3,,,,1,1,,,,1,,1,,,,,4,1,5,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,3,,3,,,,1,1,,,,1,,1,,,,,4,1,5,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,3,,3,,,,1,1,,,,1,,1,,,,,4,1,5,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,3,,3,,,,1,1,,,,,,,,,,,3,1,4,
,Non-Resident Tuition,,,,,,,,,,,,1,,1,,,,,1,,1,
,Tuition  Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,3,,3,,,,1,1,,,,,,,,,,,3,1,4,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,1,,1,,,,,1,,1,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,2,,2,,,,1,1,,,,1,,1,,,,,3,1,4,
,15-17 SCH,1,,1,,,,,,,,,,,,,,,,1,,1,
Ft/Pt: TAMU Status,Half-Time,1,,1,,,,,,,,,,,,,,,,1,,1,
,Full-Time,2,,2,,,,1,1,,,,1,,1,,,,,3,1,4,
Top 10% Texas High School,No,2,,2,,,,1,1,,,,1,,1,,,,,3,1,4,
,Yes,1,,1,,,,,,,,,,,,,,,,1,,1,
First Generation,No,2,,2,,,,,,,,,,,,,,,,2,,2,
,Unknown,,,,,,,,,,,,1,,1,,,,,1,,1,
,Yes,1,,1,,,,1,1,,,,,,,,,,,1,1,2,
Dorm / Off-campus students,Off-campus,2,,2,,,,1,1,,,,1,,1,,,,,3,1,4,
,Dorm (On-campus),1,,1,,,,,,,,,,,,,,,,1,,1,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
