College Science,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,144",100.0%,341,100.0%,522,100.0%,,,"3,007",100.0%,
,Female,"1,129",52.7%,133,39.0%,174,33.3%,,,"1,436",47.8%,
,Male,"1,015",47.3%,208,61.0%,348,66.7%,,,"1,571",52.2%,
Ethnicity,White Only (NEW),"1,296",60.4%,169,49.6%,182,34.9%,,,"1,647",54.8%,
,Black Only + 2 or more/1 Black (NEW),81,3.8%,8,2.3%,8,1.5%,,,97,3.2%,
,Hispanic or Latino of any Race (NEW),426,19.9%,20,5.9%,24,4.6%,,,470,15.6%,
,Asian Only (NEW),242,11.3%,34,10.0%,11,2.1%,,,287,9.5%,
,Native Hawaii Only (New),2,.1%,,,1,.2%,,,3,.1%,
,American Indian Only (NEW),10,.5%,1,.3%,2,.4%,,,13,.4%,
,International,28,1.3%,102,29.9%,287,55.0%,,,417,13.9%,
,2 or More/Excluding Black (NEW),58,2.7%,2,.6%,5,1.0%,,,65,2.2%,
,Unknown or Not Reported,1,.0%,5,1.5%,2,.4%,,,8,.3%,
,Total,"2,144",100.0%,341,100.0%,522,100.0%,,,"3,007",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"1,457",68.0%,2,.6%,,,,,"1,459",48.5%,
,22-25,652,30.4%,137,40.2%,99,19.0%,,,888,29.5%,
,26-30,24,1.1%,93,27.3%,283,54.2%,,,400,13.3%,
,31-39,11,.5%,68,19.9%,129,24.7%,,,208,6.9%,
,40+,,,41,12.0%,11,2.1%,,,52,1.7%,
Enrollment Status,1st Time in College,12,.6%,,,,,,,12,.4%,
,1st Time PB,,,20,5.9%,,,,,20,.7%,
,1st Time Graduate,,,24,7.0%,117,22.4%,,,141,4.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,27,1.3%,,,,,,,27,.9%,
,Readmitted,8,.4%,1,.3%,,,,,9,.3%,
,Continuing,"2,097",97.8%,296,86.8%,405,77.6%,,,"2,798",93.0%,
Tuition Status,Resident Tuition,"1,983",92.5%,170,49.9%,97,18.6%,,,"2,250",74.8%,
,Non-Resident Tuition,38,1.8%,16,4.7%,21,4.0%,,,75,2.5%,
,Tuition Exemption/Waiver,123,5.7%,155,45.5%,404,77.4%,,,682,22.7%,
Residency Status,Texas Resident,"2,045",95.4%,177,51.9%,105,20.1%,,,"2,327",77.4%,
,"Non-TX, US Resident",72,3.4%,63,18.5%,129,24.7%,,,264,8.8%,
,"Non-TX, Non-US Resident",27,1.3%,101,29.6%,288,55.2%,,,416,13.8%,
SCH Categories,< 6 SCH,14,.7%,87,25.5%,9,1.7%,,,110,3.7%,
,6-8 SCH,64,3.0%,33,9.7%,,,,,97,3.2%,
,9-11 SCH,105,4.9%,200,58.7%,506,96.9%,,,811,27.0%,
,12-14 SCH,"1,125",52.5%,19,5.6%,7,1.3%,,,"1,151",38.3%,
,15-17 SCH,775,36.1%,2,.6%,,,,,777,25.8%,
,>17 SCH,61,2.8%,,,,,,,61,2.0%,
Ft/Pt: TAMU Status,Less Than Half Time,10,.5%,80,23.5%,6,1.1%,,,96,3.2%,
,Half-Time,158,7.4%,40,11.7%,4,.8%,,,202,6.7%,
,Full-Time,"1,976",92.2%,221,64.8%,512,98.1%,,,"2,709",90.1%,
Top 10% Texas High School,No,"1,025",47.8%,334,97.9%,505,96.7%,,,"1,864",62.0%,
,Yes,"1,119",52.2%,7,2.1%,17,3.3%,,,"1,143",38.0%,
First Generation,No,"1,505",70.2%,186,54.5%,272,52.1%,,,"1,963",65.3%,
,Unknown,70,3.3%,57,16.7%,75,14.4%,,,202,6.7%,
,Yes,569,26.5%,98,28.7%,175,33.5%,,,842,28.0%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
