College Liberal Arts,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"6,286",100.0%,255,100.0%,501,100.0%,,,"7,042",100.0%,
,Female,"3,754",59.7%,125,49.0%,261,52.1%,,,"4,140",58.8%,
,Male,"2,532",40.3%,130,51.0%,240,47.9%,,,"2,902",41.2%,
Ethnicity,White Only (NEW),"4,467",71.1%,142,55.7%,256,51.1%,,,"4,865",69.1%,
,Black Only + 2 or more/1 Black (NEW),253,4.0%,16,6.3%,34,6.8%,,,303,4.3%,
,Hispanic or Latino of any Race (NEW),"1,144",18.2%,35,13.7%,72,14.4%,,,"1,251",17.8%,
,Asian Only (NEW),216,3.4%,7,2.7%,11,2.2%,,,234,3.3%,
,Native Hawaii Only (New),9,.1%,,,,,,,9,.1%,
,American Indian Only (NEW),26,.4%,,,2,.4%,,,28,.4%,
,International,43,.7%,49,19.2%,118,23.6%,,,210,3.0%,
,2 or More/Excluding Black (NEW),108,1.7%,4,1.6%,4,.8%,,,116,1.6%,
,Unknown or Not Reported,20,.3%,2,.8%,4,.8%,,,26,.4%,
,Total,"6,286",100.0%,255,100.0%,501,100.0%,,,"7,042",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"3,267",52.0%,,,,,,,"3,267",46.4%,
,22-25,"2,818",44.8%,96,37.6%,32,6.4%,,,"2,946",41.8%,
,26-30,132,2.1%,111,43.5%,207,41.3%,,,450,6.4%,
,31-39,44,.7%,35,13.7%,191,38.1%,,,270,3.8%,
,40+,25,.4%,13,5.1%,71,14.2%,,,109,1.5%,
Enrollment Status,1st Time in College,17,.3%,,,,,,,17,.2%,
,1st Time PB,,,3,1.2%,,,,,3,.0%,
,1st Time Graduate,,,2,.8%,72,14.4%,,,74,1.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,224,3.6%,,,,,,,224,3.2%,
,Readmitted,60,1.0%,1,.4%,,,,,61,.9%,
,Continuing,"5,985",95.2%,249,97.6%,429,85.6%,,,"6,663",94.6%,
Tuition Status,Resident Tuition,"5,895",93.8%,97,38.0%,203,40.5%,,,"6,195",88.0%,
,Non-Resident Tuition,111,1.8%,46,18.0%,59,11.8%,,,216,3.1%,
,Tuition Exemption/Waiver,280,4.5%,112,43.9%,239,47.7%,,,631,9.0%,
Residency Status,Texas Resident,"6,047",96.2%,105,41.2%,211,42.1%,,,"6,363",90.4%,
,"Non-TX, US Resident",196,3.1%,100,39.2%,171,34.1%,,,467,6.6%,
,"Non-TX, Non-US Resident",43,.7%,50,19.6%,119,23.8%,,,212,3.0%,
SCH Categories,< 6 SCH,97,1.5%,28,11.0%,112,22.4%,,,237,3.4%,
,6-8 SCH,212,3.4%,14,5.5%,7,1.4%,,,233,3.3%,
,9-11 SCH,372,5.9%,205,80.4%,375,74.9%,,,952,13.5%,
,12-14 SCH,"3,032",48.2%,7,2.7%,5,1.0%,,,"3,044",43.2%,
,15-17 SCH,"2,353",37.4%,,,2,.4%,,,"2,355",33.4%,
,>17 SCH,220,3.5%,1,.4%,,,,,221,3.1%,
Ft/Pt: TAMU Status,Less Than Half Time,85,1.4%,23,9.0%,93,18.6%,,,201,2.9%,
,Half-Time,589,9.4%,21,8.2%,23,4.6%,,,633,9.0%,
,Full-Time,"5,612",89.3%,211,82.7%,385,76.8%,,,"6,208",88.2%,
Top 10% Texas High School,No,"4,236",67.4%,250,98.0%,485,96.8%,,,"4,971",70.6%,
,Yes,"2,050",32.6%,5,2.0%,16,3.2%,,,"2,071",29.4%,
First Generation,No,"4,354",69.3%,168,65.9%,266,53.1%,,,"4,788",68.0%,
,Unknown,163,2.6%,20,7.8%,88,17.6%,,,271,3.8%,
,Yes,"1,769",28.1%,67,26.3%,147,29.3%,,,"1,983",28.2%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
