College Engineering,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,2,11,13,1,1,,5,5,1,1,2,,8,8,,,,,3,26,29,
TAMU Age Categories,<18,,,,1,1,,,,,,,,,,,,,,,1,1,
,18-21,2,11,13,,,,5,5,1,1,2,,8,8,,,,,3,25,28,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,2,11,13,1,1,,5,5,1,1,2,,8,8,,,,,3,26,29,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,1,9,10,1,1,,5,5,,,,,,,,,,,1,15,16,
,Non-Resident Tuition,1,1,2,,,,,,1,1,2,,6,6,,,,,2,8,10,
,Tuition  Exemption/Waiver,,1,1,,,,,,,,,,2,2,,,,,,3,3,
Residency Status,Texas Resident,1,10,11,1,1,,5,5,,,,,,,,,,,1,16,17,
,"Non-TX, US Resident",,1,1,,,,,,1,,1,,,,,,,,1,1,2,
,"Non-TX, Non-US Resident",1,,1,,,,,,,1,1,,8,8,,,,,1,9,10,
SCH Categories,6-8 SCH,,1,1,,,,1,1,,,,,,,,,,,,2,2,
,12-14 SCH,2,10,12,1,1,,4,4,1,1,2,,8,8,,,,,3,24,27,
,15-17 SCH,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Half-Time,,1,1,,,,1,1,,,,,2,2,,,,,,4,4,
,Full-Time,2,10,12,1,1,,4,4,1,1,2,,6,6,,,,,3,22,25,
Top 10% Texas High School,No,1,10,11,1,1,,2,2,1,1,2,,8,8,,,,,2,22,24,
,Yes,1,1,2,,,,3,3,,,,,,,,,,,1,4,5,
First Generation,No,2,7,9,1,1,,4,4,1,1,2,,,,,,,,3,13,16,
,Unknown,,,,,,,,,,,,,8,8,,,,,,8,8,
,Yes,,4,4,,,,1,1,,,,,,,,,,,,5,5,
Dorm / Off-campus students,Off-campus,,6,6,,,,3,3,1,,1,,6,6,,,,,1,15,16,
,Dorm (On-campus),2,5,7,1,1,,2,2,,1,1,,2,2,,,,,2,11,13,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
