College Architecture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,330",100.0%,331,100.0%,104,100.0%,,,"1,765",100.0%,
,Female,399,30.0%,134,40.5%,36,34.6%,,,569,32.2%,
,Male,931,70.0%,197,59.5%,68,65.4%,,,"1,196",67.8%,
Ethnicity,White Only (NEW),995,74.8%,165,49.8%,15,14.4%,,,"1,175",66.6%,
,Black Only + 2 or more/1 Black (NEW),29,2.2%,6,1.8%,3,2.9%,,,38,2.2%,
,Hispanic or Latino of any Race (NEW),242,18.2%,30,9.1%,4,3.8%,,,276,15.6%,
,Asian Only (NEW),25,1.9%,9,2.7%,6,5.8%,,,40,2.3%,
,Native Hawaii Only (New),,,,,,,,,,,
,American Indian Only (NEW),7,.5%,2,.6%,1,1.0%,,,10,.6%,
,International,10,.8%,114,34.4%,75,72.1%,,,199,11.3%,
,2 or More/Excluding Black (NEW),21,1.6%,2,.6%,,,,,23,1.3%,
,Unknown or Not Reported,1,.1%,3,.9%,,,,,4,.2%,
,Total,"1,330",100.0%,331,100.0%,104,100.0%,,,"1,765",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,615,46.2%,,,,,,,615,34.8%,
,22-25,669,50.3%,143,43.2%,,,,,812,46.0%,
,26-30,32,2.4%,134,40.5%,26,25.0%,,,192,10.9%,
,31-39,12,.9%,42,12.7%,59,56.7%,,,113,6.4%,
,40+,2,.2%,12,3.6%,19,18.3%,,,33,1.9%,
Enrollment Status,1st Time in College,4,.3%,,,,,,,4,.2%,
,1st Time PB,,,3,.9%,,,,,3,.2%,
,1st Time Graduate,,,4,1.2%,11,10.6%,,,15,.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,27,2.0%,,,,,,,27,1.5%,
,Readmitted,10,.8%,2,.6%,,,,,12,.7%,
,Continuing,"1,289",96.9%,322,97.3%,93,89.4%,,,"1,704",96.5%,
Tuition Status,Resident Tuition,"1,252",94.1%,177,53.5%,19,18.3%,,,"1,448",82.0%,
,Non-Resident Tuition,14,1.1%,60,18.1%,15,14.4%,,,89,5.0%,
,Tuition Exemption/Waiver,64,4.8%,94,28.4%,70,67.3%,,,228,12.9%,
Residency Status,Texas Resident,"1,292",97.1%,184,55.6%,25,24.0%,,,"1,501",85.0%,
,"Non-TX, US Resident",28,2.1%,33,10.0%,3,2.9%,,,64,3.6%,
,"Non-TX, Non-US Resident",10,.8%,114,34.4%,76,73.1%,,,200,11.3%,
SCH Categories,< 6 SCH,9,.7%,32,9.7%,15,14.4%,,,56,3.2%,
,6-8 SCH,129,9.7%,16,4.8%,3,2.9%,,,148,8.4%,
,9-11 SCH,89,6.7%,124,37.5%,84,80.8%,,,297,16.8%,
,12-14 SCH,690,51.9%,125,37.8%,1,1.0%,,,816,46.2%,
,15-17 SCH,386,29.0%,33,10.0%,1,1.0%,,,420,23.8%,
,>17 SCH,27,2.0%,1,.3%,,,,,28,1.6%,
Ft/Pt: TAMU Status,Less Than Half Time,9,.7%,24,7.3%,12,11.5%,,,45,2.5%,
,Half-Time,217,16.3%,24,7.3%,7,6.7%,,,248,14.1%,
,Full-Time,"1,104",83.0%,283,85.5%,85,81.7%,,,"1,472",83.4%,
Top 10% Texas High School,No,795,59.8%,302,91.2%,104,100.0%,,,"1,201",68.0%,
,Yes,535,40.2%,29,8.8%,,,,,564,32.0%,
First Generation,No,943,70.9%,220,66.5%,60,57.7%,,,"1,223",69.3%,
,Unknown,35,2.6%,35,10.6%,21,20.2%,,,91,5.2%,
,Yes,352,26.5%,76,23.0%,23,22.1%,,,451,25.6%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
