College Agriculture,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,8,2,10,,,3,1,4,,,,1,,1,,,,,12,3,15,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,8,2,10,,,3,1,4,,,,1,,1,,,,,12,3,15,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,7,2,9,,,3,1,4,,,,1,,1,,,,,11,3,14,
,Sophomore,1,,1,,,,,,,,,,,,,,,,1,,1,
Tuition Status,Resident Tuition,8,2,10,,,2,,2,,,,,,,,,,,10,2,12,
,Non-Resident Tuition,,,,,,1,1,2,,,,1,,1,,,,,2,1,3,
,Tuition  Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,8,2,10,,,3,,3,,,,,,,,,,,11,2,13,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,1,1,,,,1,,1,,,,,1,1,2,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,6,2,8,,,2,,2,,,,,,,,,,,8,2,10,
,15-17 SCH,2,,2,,,1,1,2,,,,1,,1,,,,,4,1,5,
Ft/Pt: TAMU Status,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,8,2,10,,,3,1,4,,,,1,,1,,,,,12,3,15,
Top 10% Texas High School,No,6,2,8,,,1,1,2,,,,1,,1,,,,,8,3,11,
,Yes,2,,2,,,2,,2,,,,,,,,,,,4,,4,
First Generation,No,5,2,7,,,3,1,4,,,,,,,,,,,8,3,11,
,Unknown,,,,,,,,,,,,1,,1,,,,,1,,1,
,Yes,3,,3,,,,,,,,,,,,,,,,3,,3,
Dorm / Off-campus students,Off-campus,6,1,7,,,1,,1,,,,,,,,,,,7,1,8,
,Dorm (On-campus),2,1,3,,,2,1,3,,,,1,,1,,,,,5,2,7,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
