College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,2,2,4,,,4,,4,1,,1,1,,1,,,,,8,2,10,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,2,4,,,4,,4,1,,1,1,,1,,,,,8,2,10,
,22-25,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,2,2,4,,,4,,4,1,,1,1,,1,,,,,8,2,10,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,2,1,3,,,4,,4,1,,1,,,,,,,,7,1,8,
,Non-Resident Tuition,,1,1,,,,,,,,,1,,1,,,,,1,1,2,
,Tuition  Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,2,1,3,,,4,,4,1,,1,,,,,,,,7,1,8,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,1,,1,,,,,1,,1,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,,1,1,,,4,,4,1,,1,1,,1,,,,,6,1,7,
,15-17 SCH,2,1,3,,,,,,,,,,,,,,,,2,1,3,
Ft/Pt: TAMU Status,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,2,2,4,,,4,,4,1,,1,1,,1,,,,,8,2,10,
Top 10% Texas High School,No,1,2,3,,,2,,2,1,,1,1,,1,,,,,5,2,7,
,Yes,1,,1,,,2,,2,,,,,,,,,,,3,,3,
First Generation,No,1,2,3,,,2,,2,1,,1,,,,,,,,4,2,6,
,Unknown,,,,,,,,,,,,1,,1,,,,,1,,1,
,Yes,1,,1,,,2,,2,,,,,,,,,,,3,,3,
Dorm / Off-campus students,Off-campus,1,1,2,,,3,,3,,,,1,,1,,,,,5,1,6,
,Dorm (On-campus),1,1,2,,,1,,1,1,,1,,,,,,,,3,1,4,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
