Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,2,9,,11,,,,,,,,11,
,WFSC,1,,1,2,,4,,1,1,2,2,,,7,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1,
,Subtotal,7,20,56,73,,156,2,10,12,31,31,,,199,
Architecture,ARCH,,,,,,,,3,3,,,,,3,
,COMG,,,,,,,,,,,,,,,
,COSC,,1,1,2,,4,,,,,,,,4,
,COSL,,4,3,,,7,,,,,,,,7,
,ENDL,,,1,,,1,,,,,,,,1,
,ENDS,,,,3,,3,,,,,,,,3,
,LAND,,,,1,,1,,,,,,,,1,
,LANL,2,,,,,2,,,,,,,,2,
,LDEV,,,,,,,,2,2,,,,,2,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,2,,3,,5,,,,3,3,,,8,
,USAR,,,2,,,2,,,,,,,,2,
,VISL,1,,2,,,3,,,,,,,,3,
,VIST,,,,1,,1,,,,,,,,1,
,Subtotal,3,7,9,10,,29,,6,6,3,3,,,38,
Business Admin,ACCT,,,11,8,,19,1,4,5,,,,,24,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,2,3,,5,,,,,,,,5,
,BUAD,13,20,1,,,34,,3,3,,,,,37,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,6,6,,,,,6,
,FINC,,,3,5,,8,,2,2,,,,,10,
,INFO,,,8,10,,18,,,,,,,,18,
,MGMT,,,3,9,,12,,3,3,,,,,15,
,MISY,,,,,,,,2,2,,,,,2,
,MKTG,,,4,8,,12,,1,1,,,,,13,
,MLER,,,,,,,,,,,,,,,
,USBU,,,4,2,,6,,,,,,,,6,
,Subtotal,13,20,36,45,,114,1,21,22,,,,,136,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
