Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,SPSA,,1,1,1,,3,,,,,,,,3,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,1,1,,2,,,,,,,,2,
,WFSC,,1,2,3,,6,,,,,,,,6,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1,
,Subtotal,6,16,25,30,1,78,,5,5,,,,,83,
Architecture,ARCH,,,,,,,,,,,,,,,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,,,2,,2,,,,,,,,2,
,COSL,,2,2,,,4,,,,,,,,4,
,ENDL,3,,3,,,6,,,,,,,,6,
,ENDS,,,,2,,2,,,,,,,,2,
,LAND,,,1,1,,2,,1,1,,,,,3,
,LANL,,1,1,,,2,,,,,,,,2,
,LDEV,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,,,,,,,,,,,,,,,
,USAR,,,1,,,1,,,,,,,,1,
,VISL,1,1,,,,2,,,,,,,,2,
,VIST,,,,,,,,,,,,,,,
,Subtotal,4,4,8,5,,21,,2,2,,,,,23,
Business Admin,ACCT,,,2,3,,5,,1,1,,,,,6,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,2,,2,,,,,,,,2,
,BUAD,11,14,1,,,26,,,,,,,,26,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,,,,,,,,
,FINC,,,1,5,,6,,,,,,,,6,
,INFO,,,3,2,,5,,,,,,,,5,
,MGMT,,,1,4,,5,,1,1,,,,,6,
,MISY,,,,,,,,2,2,,,,,2,
,MKTG,,,2,2,,4,,,,,,,,4,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,3,,3,,,,,,,,3,
,Subtotal,11,14,10,21,,56,,4,4,,,,,60,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
