Demographic Summary First Generation FTIC Students,,,,,,
Spring 2011,,,,,,
Spring 2011,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,17,36,65,118,
Gender,Female,7,16,27,50,
,Male,10,20,38,68,
Ethnicity,White Only (NEW),,19,45,64,
,Black Only + 2 or more/1 Black (NEW),,,3,3,
,Hispanic or Latino of any Race (NEW),1,14,13,28,
,Asian Only (NEW),,1,4,5,
,International,15,,,15,
,2 or More/Excluding Black (NEW),,2,,2,
,Unknown or Not Reported,1,,,1,
TAMU Age Categories,<18,,,1,1,
,18-21,17,35,62,114,
,22-25,,1,1,2,
,26-30,,,1,1,
College,Agriculture,1,3,11,15,
,Architecture,,3,1,4,
,Business Admin,,5,6,11,
,Education,1,2,2,5,
,Engineering,8,5,16,29,
,Liberal Arts,,7,10,17,
,Science,1,4,7,12,
,Veterinary Medicine,1,3,6,10,
,General Studies,5,4,6,15,
Enrollment Status,1st Time in College,17,36,65,118,
Tuition Status,Resident Tuition,2,33,52,87,
,Non-Resident Tuition,13,1,10,24,
,Tuition Exemption/Waiver,2,2,3,7,
Residency Status,Texas Resident,2,35,56,93,
,"Non-TX, US Resident",,1,6,7,
,"Non-TX, Non-US Resident",15,,3,18,
SCH Categories,6-8 SCH,,1,1,2,
,12-14 SCH,16,29,44,89,
,15-17 SCH,1,6,20,27,
Ft/Pt:  TAMU Status,Half-Time,3,2,1,6,
,Full-Time,14,34,64,112,
Top 10% Texas High School,No,16,25,49,90,
,Yes,1,11,16,28,
"Prepared by OISP, 29 Mar 11",,,,,,
