Demographic Summary by Classification Professional Students,,,,,,,
Spring 2011,,,,,,,
Spring 2011,,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V3: 3rd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count,Total,131,128,132,123,514,
Gender,Female,97,100,94,93,384,
,Male,34,28,38,30,130,
Ethnicity,White Only (NEW),116,102,116,103,437,
,Black Only + 2 or more/1 Black (NEW),,3,1,,4,
,Hispanic or Latino of any Race (NEW),8,19,10,13,50,
,Asian Only (NEW),2,2,5,5,14,
,American Indian Only (NEW),,,,1,1,
,2 or More/Excluding Black (NEW),,1,,,1,
,Unknown or Not Reported,5,1,,1,7,
TAMU Age Categories,18-21,1,,,,1,
,22-25,103,85,62,22,272,
,26-30,19,36,62,91,208,
,31-39,6,7,5,10,28,
,40+,2,,3,,5,
College,Veterinary Medicine,131,128,132,123,514,
Enrollment Status,Readmitted,1,,,,1,
,Continuing,130,128,132,123,513,
Tuition Status,Resident Tuition,121,117,123,116,477,
,Non-Resident Tuition,,3,2,,5,
,Tuition Exemption/Waiver,10,8,7,7,32,
Residency Status,Texas Resident,124,119,123,118,484,
,"Non-TX, US Resident",7,9,9,5,30,
SCH Categories,9-11 SCH,,,1,,1,
,>17 SCH,131,128,131,123,513,
Ft/Pt:  TAMU Status,Half-Time,,,1,,1,
,Full-Time,131,127,131,123,512,
"Prepared by OISP, 29 Mar 11",,,,,,,
