Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,1,1,6,6,,,7,
,EDAD,,,,,,,3,10,13,31,31,,,44,
,EDCI,,,,,,,1,9,10,53,53,,,63,
,EDHL,1,7,3,2,,13,,,,,,,,13,
,EDIS,5,3,5,2,,15,,,,,,,,15,
,EDKI,6,3,1,1,1,12,,,,,,,,12,
,EDSM,,8,4,,,12,,,,,,,,12,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,8,8,19,19,,,27,
,EPSY,,,,,,,,7,7,3,3,,,10,
,HEED,,,,,,,,,,6,6,,,6,
,HLTH,,,1,9,1,11,,,,,,,,11,
,HRDL,,2,5,3,,10,,,,,,,,10,
,HRDV,,,,2,,2,,,,,,,,2,
,INST,,1,,8,,9,,,,,,,,9,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,6,,6,,1,1,5,5,,,12,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,2,2,,,,,2,
,SPMT,,,,7,,7,,1,1,,,,,8,
,SPSY,,,,,,,,,,3,3,,,3,
,TCMG,,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,12,24,19,40,2,97,4,39,43,126,126,,,266,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
