College Business Admin,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,2,8,10,,,,,,,1,1,,,,,,,,2,9,11,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,2,7,9,,,,,,,1,1,,,,,,,,2,8,10,
,22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
,26-30,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,2,8,10,,,,,,,1,1,,,,,,,,2,9,11,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,2,6,8,,,,,,,1,1,,,,,,,,2,7,9,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,1,1,
,Tuition  Exemption/Waiver,,1,1,,,,,,,,,,,,,,,,,1,1,
Residency Status,Texas Resident,2,7,9,,,,,,,1,1,,,,,,,,2,8,10,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,,5,5,,,,,,,1,1,,,,,,,,,6,6,
,15-17 SCH,2,3,5,,,,,,,,,,,,,,,,2,3,5,
Ft/Pt: TAMU Status,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,2,8,10,,,,,,,1,1,,,,,,,,2,9,11,
Top 10% Texas High School,No,1,6,7,,,,,,,1,1,,,,,,,,1,7,8,
,Yes,1,2,3,,,,,,,,,,,,,,,,1,2,3,
First Generation,No,2,4,6,,,,,,,,,,,,,,,,2,4,6,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,,4,4,,,,,,,1,1,,,,,,,,,5,5,
Dorm / Off-campus students,Off-campus,2,6,8,,,,,,,1,1,,,,,,,,2,7,9,
,Dorm (On-campus),,2,2,,,,,,,,,,,,,,,,,2,2,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
