Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,CLGE,,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1,
,GEPL,,,,,,,,1,1,,,,,1,
,OCNG,,,,,,,,1,1,,,,,1,
,Subtotal,,,,,,,,2,2,1,1,,,3,
Liberal Arts,ANTH,,,,,,,,,,1,1,,,1,
,CLLA,1,,,,,1,,,,,,,,1,
,COMM,,,1,,,1,,,,,,,,1,
,ECON,,1,1,,,2,,,,,,,,2,
,ENGL,,,,1,,1,,,,,,,,1,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,1,,1,,,,,,,,1,
,HIST,,2,,,,2,,,,2,2,,,4,
,PHUM,,,,,,,,2,2,,,,,2,
,POLS,1,2,2,,,5,,,,,,,,5,
,PRFM,,,1,,,1,,,,,,,,1,
,PSYC,2,1,,2,,5,,,,,,,,5,
,SOCI,,,1,,,1,,,,1,1,,,2,
,Subtotal,4,6,6,4,,20,,2,2,4,4,,,26,
Science,BIOL,,,,,,,,,,,,,,,
,CHEM,,,,,,,,1,1,1,1,,,2,
,CLSC,,,,,,,,,,,,,,,
,MATH,,,1,,,1,1,,1,,,,,2,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,,3,3,,,,,3,
,Subtotal,,,1,,,1,1,4,5,2,2,,,8,
Veterinary Medicine,CLVM,1,,,,,1,,,,,,7,7,8,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,1,,,,,1,,,,,,7,7,8,
General Studies,GEST,8,2,,,,10,,,,,,,,10,
,Subtotal,8,2,,,,10,,,,,,,,10,
Other - Special Populations,CLMD,,,,,,,1,,1,,,,,1,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,SABX,,,1,,,1,,,,,,,,1,
,SRPH,,,,,,,2,,2,,,,,2,
,Subtotal,,,1,,,1,3,,3,,,,,4,
University,Total,21,15,14,12,,62,8,27,35,22,22,7,7,126,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
