College Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,85,114,199,3,2,5,16,13,29,3,2,5,,,,1,2,3,3,,3,2,,2,,1,1,113,134,247,
TAMU Age Categories,18-21,59,55,114,2,1,3,10,5,15,1,2,3,,,,1,1,2,1,,1,1,,1,,,,75,64,139,
,22-25,21,49,70,,1,1,6,4,10,1,,1,,,,,1,1,2,,2,1,,1,,1,1,31,56,87,
,26-30,4,9,13,,,,,1,1,1,,1,,,,,,,,,,,,,,,,5,10,15,
,31-39,1,1,2,1,,1,,3,3,,,,,,,,,,,,,,,,,,,2,4,6,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,2,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,3,3,
,Sophomore,42,63,105,1,1,2,8,7,15,1,2,3,,,,1,,1,1,,1,1,,1,,,,55,73,128,
,Junior,38,43,81,1,1,2,8,5,13,2,,2,,,,,2,2,2,,2,1,,1,,1,1,52,52,104,
,Senior,3,5,8,1,,1,,,,,,,,,,,,,,,,,,,,,,4,5,9,
,PB,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
Tuition Status,Resident Tuition,82,111,193,3,,3,16,11,27,3,2,5,,,,1,2,3,,,,2,,2,,1,1,107,127,234,
,Non-Resident Tuition,1,1,2,,2,2,,1,1,,,,,,,,,,3,,3,,,,,,,4,4,8,
,Tuition Exemption/Waiver,2,2,4,,,,,1,1,,,,,,,,,,,,,,,,,,,2,3,5,
Residency Status,Texas Resident,84,112,196,3,,3,16,12,28,3,2,5,,,,1,2,3,,,,2,,2,,1,1,109,129,238,
,"Non-TX, US Resident",1,2,3,,2,2,,1,1,,,,,,,,,,,,,,,,,,,1,5,6,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,3,,3,,,,,,,3,,3,
SCH Categories,< 6 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,6-8 SCH,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,
,9-11 SCH,6,5,11,,,,,,,,,,,,,,,,,,,,,,,,,6,5,11,
,12-14 SCH,47,70,117,2,2,4,12,8,20,3,1,4,,,,1,1,2,3,,3,2,,2,,1,1,70,83,153,
,15-17 SCH,27,34,61,1,,1,4,5,9,,1,1,,,,,1,1,,,,,,,,,,32,41,73,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Half-Time,10,9,19,,,,,,,,,,,,,,,,,,,,,,,,,10,9,19,
,Full-Time,74,104,178,3,2,5,16,13,29,3,2,5,,,,1,2,3,3,,3,2,,2,,1,1,102,124,226,
Top 10% Texas High School,No,79,111,190,3,2,5,14,13,27,3,2,5,,,,1,2,3,3,,3,1,,1,,1,1,104,131,235,
,Yes,6,3,9,,,,2,,2,,,,,,,,,,,,,1,,1,,,,9,3,12,
First Generation,No,51,73,124,2,,2,8,6,14,,1,1,,,,,1,1,,,,2,,2,,1,1,63,82,145,
,Unknown,,4,4,,1,1,,,,,,,,,,,,,3,,3,,,,,,,3,5,8,
,Yes,34,37,71,1,1,2,8,7,15,3,1,4,,,,1,1,2,,,,,,,,,,47,47,94,
Dorm / Off-campus students,Off-campus,77,112,189,3,2,5,12,10,22,2,2,4,,,,1,2,3,2,,2,2,,2,,1,1,99,129,228,
,Dorm (On-campus),8,2,10,,,,4,3,7,1,,1,,,,,,,1,,1,,,,,,,14,5,19,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
