Demographic Summary for Blinn TEAM Students Spring 2011,,,,,,
Spring 2011,,U1: Freshmen,U2: Sophomore,U3: Junior,Grand Total,
Headcount Total,,570,248,18,836,
Gender,Female,279,119,12,410,
,Male,291,129,6,426,
Ethnicity,White Only (NEW),450,198,12,660,
,Black Only + 2 or more/1 Black (NEW),10,3,,13,
,Hispanic or Latino of any Race (NEW),77,34,6,117,
,Asian Only (NEW),16,10,,26,
,Native Hawaii Only (New),1,,,1,
,American Indian Only (NEW),1,,,1,
,International,,1,,1,
,2 or More/Excluding Black (NEW),14,1,,15,
,Unknown or Not Reported,1,1,,2,
TAMU Age Categories,18-21,570,245,17,832,
,22-25,,3,1,4,
Enrollment Status,Continuing,570,248,18,836,
Tuition Status,Resident Tuition,549,238,17,804,
,Non-Resident Tuition,7,6,,13,
,Tuition Exemption/Waiver,14,4,1,19,
Residency Status,Texas Resident,559,241,18,818,
,"Non-TX, US Resident",11,6,,17,
,"Non-TX, Non-US Resident",,1,,1,
SCH Categories,< 6 SCH,498,222,17,737,
,6-8 SCH,72,26,1,99,
Ft/Pt:  TAMU Status,Less Than Half Time,498,222,17,737,
,Half-Time,72,26,1,99,
First Generation,No,424,181,9,614,
,Unknown,14,2,,16,
,Yes,132,65,9,206,
"Prepared by OISP, 29 Mar 11",,,,,,
