College Veterinary Medicine,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,469",100.0%,65,100.0%,73,100.0%,514,100.0%,"2,121",100.0%,
,Female,"1,015",69.1%,45,69.2%,41,56.2%,384,74.7%,"1,485",70.0%,
,Male,454,30.9%,20,30.8%,32,43.8%,130,25.3%,636,30.0%,
Ethnicity,White Only (NEW),977,66.5%,38,58.5%,36,49.3%,437,85.0%,"1,488",70.2%,
,Black Only + 2 or more/1 Black (NEW),42,2.9%,2,3.1%,1,1.4%,4,.8%,49,2.3%,
,Hispanic or Latino of any Race (NEW),269,18.3%,3,4.6%,2,2.7%,50,9.7%,324,15.3%,
,Asian Only (NEW),143,9.7%,5,7.7%,3,4.1%,14,2.7%,165,7.8%,
,Native Hawaii Only (New),1,.1%,,,,,,,1,.0%,
,American Indian Only (NEW),7,.5%,,,,,1,.2%,8,.4%,
,International,4,.3%,16,24.6%,31,42.5%,,,51,2.4%,
,2 or More/Excluding Black (NEW),25,1.7%,1,1.5%,,,1,.2%,27,1.3%,
,Unknown or Not Reported,1,.1%,,,,,7,1.4%,8,.4%,
,Total,"1,469",100.0%,65,100.0%,73,100.0%,514,100.0%,"2,121",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"1,117",76.0%,,,,,1,.2%,"1,118",52.7%,
,22-25,350,23.8%,22,33.8%,5,6.8%,272,52.9%,649,30.6%,
,26-30,2,.1%,27,41.5%,32,43.8%,208,40.5%,269,12.7%,
,31-39,,,15,23.1%,29,39.7%,28,5.4%,72,3.4%,
,40+,,,1,1.5%,7,9.6%,5,1.0%,13,.6%,
Enrollment Status,1st Time in College,10,.7%,,,,,,,10,.5%,
,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,13,17.8%,,,13,.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,1,.1%,,,,,,,1,.0%,
,Readmitted,1,.1%,,,,,1,.2%,2,.1%,
,Continuing,"1,457",99.2%,65,100.0%,60,82.2%,513,99.8%,"2,095",98.8%,
Tuition Status,Resident Tuition,"1,390",94.6%,38,58.5%,32,43.8%,477,92.8%,"1,937",91.3%,
,Non-Resident Tuition,14,1.0%,1,1.5%,1,1.4%,5,1.0%,21,1.0%,
,Tuition Exemption/Waiver,65,4.4%,26,40.0%,40,54.8%,32,6.2%,163,7.7%,
Residency Status,Texas Resident,"1,434",97.6%,41,63.1%,33,45.2%,484,94.2%,"1,992",93.9%,
,"Non-TX, US Resident",31,2.1%,8,12.3%,9,12.3%,30,5.8%,78,3.7%,
,"Non-TX, Non-US Resident",4,.3%,16,24.6%,31,42.5%,,,51,2.4%,
SCH Categories,< 6 SCH,12,.8%,15,23.1%,13,17.8%,,,40,1.9%,
,6-8 SCH,42,2.9%,9,13.8%,1,1.4%,,,52,2.5%,
,9-11 SCH,62,4.2%,36,55.4%,56,76.7%,1,.2%,155,7.3%,
,12-14 SCH,807,54.9%,4,6.2%,1,1.4%,,,812,38.3%,
,15-17 SCH,529,36.0%,1,1.5%,2,2.7%,,,532,25.1%,
,>17 SCH,17,1.2%,,,,,513,99.8%,530,25.0%,
Ft/Pt: TAMU Status,Less Than Half Time,12,.8%,9,13.8%,7,9.6%,,,28,1.3%,
,Half-Time,102,6.9%,16,24.6%,7,9.6%,1,.2%,126,5.9%,
,Full-Time,"1,355",92.2%,40,61.5%,59,80.8%,512,99.8%,"1,966",92.7%,
Top 10% Texas High School,No,532,36.2%,60,92.3%,66,90.4%,412,80.2%,"1,070",50.4%,
,Yes,937,63.8%,5,7.7%,7,9.6%,102,19.8%,"1,051",49.6%,
First Generation,No,"1,090",74.2%,42,64.6%,47,64.4%,133,25.9%,"1,312",61.9%,
,Unknown,19,1.3%,9,13.8%,6,8.2%,345,67.1%,379,17.9%,
,Yes,360,24.5%,14,21.5%,20,27.4%,36,7.0%,430,20.3%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
