College Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Grand Total,,,
,,F,M,Tot,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,
Headcount Total,,5,5,10,1,1,4,1,5,,,,,,,1,1,,,9,8,17,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,
,18-21,5,4,9,1,1,4,,4,,,,,,,1,1,,,9,6,15,
,22-25,,1,1,,,,,,,,,,,,,,,,,1,1,
,26-30,,,,,,,1,1,,,,,,,,,,,,1,1,
Classification,Freshman,5,5,10,1,1,4,1,5,,,,,,,1,1,,,9,8,17,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,5,3,8,1,1,4,,4,,,,,,,1,1,,,9,5,14,
,Non-Resident Tuition,,1,1,,,,,,,,,,,,,,,,,1,1,
,Tuition  Exemption/Waiver,,1,1,,,,1,1,,,,,,,,,,,,2,2,
Residency Status,Texas Resident,5,4,9,1,1,4,1,5,,,,,,,1,1,,,9,7,16,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,
SCH Categories,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,3,3,6,1,1,3,,3,,,,,,,1,1,,,6,5,11,
,15-17 SCH,2,2,4,,,1,1,2,,,,,,,,,,,3,3,6,
Ft/Pt: TAMU Status,Half-Time,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,5,5,10,1,1,4,1,5,,,,,,,1,1,,,9,8,17,
Top 10% Texas High School,No,5,4,9,1,1,2,1,3,,,,,,,,,,,7,6,13,
,Yes,,1,1,,,2,,2,,,,,,,1,1,,,2,2,4,
First Generation,No,3,5,8,1,1,,1,1,,,,,,,,,,,3,7,10,
,Unknown,,,,,,,,,,,,,,,,,,,,,,
,Yes,2,,2,,,4,,4,,,,,,,1,1,,,6,1,7,
Dorm / Off-campus students,Off-campus,2,2,4,1,1,1,1,2,,,,,,,,,,,3,4,7,
,Dorm (On-campus),3,3,6,,,3,,3,,,,,,,1,1,,,6,4,10,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
