College General Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,36,38,74,2,1,3,8,3,11,4,2,6,1,,1,,,,,1,1,1,1,2,,,,52,46,98,
TAMU Age Categories,18-21,32,30,62,2,1,3,8,2,10,3,1,4,1,,1,,,,,1,1,1,1,2,,,,47,36,83,
,22-25,3,5,8,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,4,7,11,
,26-30,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,31-39,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,Sophomore,33,35,68,2,1,3,8,3,11,3,1,4,1,,1,,,,,1,1,1,1,2,,,,48,42,90,
,Junior,1,,1,,,,,,,1,1,2,,,,,,,,,,,,,,,,2,1,3,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,33,37,70,2,1,3,8,3,11,4,2,6,1,,1,,,,,,,1,1,2,,,,49,44,93,
,Non-Resident Tuition,2,1,3,,,,,,,,,,,,,,,,,1,1,,,,,,,2,2,4,
,Tuition Exemption/Waiver,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Residency Status,Texas Resident,34,38,72,2,1,3,8,3,11,4,2,6,1,,1,,,,,,,1,1,2,,,,50,45,95,
,"Non-TX, US Resident",2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
SCH Categories,< 6 SCH,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,6-8 SCH,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
,9-11 SCH,1,4,5,,,,,,,1,,1,,,,,,,,,,,,,,,,2,4,6,
,12-14 SCH,27,23,50,1,1,2,6,2,8,3,,3,1,,1,,,,,1,1,1,1,2,,,,39,28,67,
,15-17 SCH,6,8,14,1,,1,2,1,3,,2,2,,,,,,,,,,,,,,,,9,11,20,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,Half-Time,1,8,9,,,,,,,1,,1,,,,,,,,,,,,,,,,2,8,10,
,Full-Time,33,29,62,2,1,3,8,3,11,3,2,5,1,,1,,,,,1,1,1,1,2,,,,48,37,85,
Top 10% Texas High School,No,32,36,68,2,,2,8,3,11,4,2,6,1,,1,,,,,1,1,1,1,2,,,,48,43,91,
,Yes,4,2,6,,1,1,,,,,,,,,,,,,,,,,,,,,,4,3,7,
First Generation,No,26,26,52,,,,6,2,8,4,1,5,,,,,,,,,,,,,,,,36,29,65,
,Unknown,1,,1,,1,1,,,,,,,,,,,,,,1,1,,,,,,,1,2,3,
,Yes,9,12,21,2,,2,2,1,3,,1,1,1,,1,,,,,,,1,1,2,,,,15,15,30,
Dorm / Off-campus students,Off-campus,34,32,66,2,,2,7,2,9,2,1,3,1,,1,,,,,1,1,1,1,2,,,,47,37,84,
,Dorm (On-campus),2,6,8,,1,1,1,1,2,2,1,3,,,,,,,,,,,,,,,,5,9,14,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
