Demographic Summary by Classification First-Time In College Students,,,,,
Top 10% Texas High School Students Spring 2011,,,,,
Spring 2011,,Freshman,Sophomore,Grand Total,
Headcount Total,,27,1,28,
Gender,Female,16,1,17,
,Male,11,,11,
Ethnicity,White Only (NEW),12,1,13,
,Hispanic or Latino of any Race (NEW),12,,12,
,2 or More/Excluding Black (NEW),2,,2,
,Unknown or Not Reported,1,,1,
TAMU Age Categories,18-21,27,1,28,
College,Agriculture,3,1,4,
,Business Admin,3,,3,
,Education,1,,1,
,Engineering,5,,5,
,Liberal Arts,4,,4,
,Science,4,,4,
,Veterinary Medicine,3,,3,
,General Studies,4,,4,
Enrollment Status,1st Time in College,27,1,28,
Tuition Status,Resident Tuition,26,1,27,
,Tuition Exemption/Waiver,1,,1,
Residency Status,Texas Resident,27,1,28,
SCH Categories,12-14 SCH,21,1,22,
,15-17 SCH,6,,6,
Ft/Pt:  TAMU Status,Full-Time,27,1,28,
First Generation,No,15,1,16,
,Unknown,1,,1,
,Yes,11,,11,
"Prepared by OISP, 29 Mar 11",,,,,
