Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,905",4.5%,301,-2.6%,386,3.8%,,,"2,592",3.5%,
Gender,Female,"1,087",1.5%,123,-20.1%,109,13.5%,,,"1,319",-0.2%,
,Male,818,8.8%,178,14.8%,277,0.4%,,,"1,273",7.6%,
Ethnicity,White,"1,397",3.6%,153,-1.3%,131,3.1%,,,"1,681",3.1%,
,Black,64,1.6%,8,100.0%,2,-50.0%,,,74,4.2%,
,Hispanic,243,7.0%,23,-8.0%,24,100.0%,,,290,9.8%,
,Asian,175,15.1%,13,-7.1%,19,90.0%,,,207,17.6%,
,American Indian,8,0.0%,2,100.0%,2,0.0%,,,12,9.1%,
,International,13,-23.5%,99,-2.9%,205,-4.7%,,,317,-5.1%,
,Unknown/Other,5,-37.5%,3,-62.5%,3,50.0%,,,11,-38.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,301",5.8%,1,0.0%,,,,,"1,302",5.8%,
,22-25,571,0.9%,140,12.9%,51,37.8%,,,762,4.8%,
,26-30,19,-5.0%,101,-12.2%,198,5.3%,,,318,-1.5%,
,31-39,12,71.4%,39,-11.4%,121,-8.3%,,,172,-6.0%,
,40+,2,100.0%,20,-20.0%,16,6.7%,,,38,-5.0%,
Enrollment,1st Time in College,2,-80.0%,,,,,,,2,-80.0%,
Status,1st Time PB,0,-100.0%,8,700.0%,,,,,8,100.0%,
,1st Time Graduate,,,14,-17.6%,5,66.7%,,,19,-5.0%,
,1st Time Transfer,36,16.1%,,,,,,,36,16.1%,
,Readmitted,1,-87.5%,2,100.0%,,,,,3,-62.5%,
,Continuing,"1,866",5.4%,277,-4.8%,381,3.3%,,,"2,524",3.8%,
Tuition,Resident Tuition,"1,777",3.4%,120,-7.0%,76,18.8%,,,"1,973",3.2%,
Status,Non-Resident Tuition,33,-31.3%,17,-19.0%,47,9.3%,,,97,-13.4%,
,Tuition Exemption/Waiver,95,66.7%,164,3.1%,263,-0.8%,,,522,8.5%,
Residency,Texas Resident,"1,815",5.6%,120,-7.7%,82,20.6%,,,"2,017",5.2%,
Status,"Non-TX, US Resident",75,-9.6%,81,6.6%,90,4.7%,,,246,0.4%,
,"Non-TX, Non-US Resident",15,-28.6%,100,-2.9%,214,-1.8%,,,329,-3.8%,
SCH,< 6 SCH,21,23.5%,30,-30.2%,16,-50.0%,,,67,-27.2%,
Categories,6-8 SCH,47,-4.1%,17,-19.0%,2,-66.7%,,,66,-13.2%,
,9-11 SCH,74,7.2%,249,7.3%,366,10.9%,,,689,9.2%,
,12-14 SCH,966,-14.0%,5,-61.5%,1,-66.7%,,,972,-14.7%,
,15-17 SCH,749,40.8%,,,1,100.0%,,,750,41.0%,
,>17 SCH,48,45.5%,,,0,-100.0%,,,48,41.2%,
Ft/Pt:,Less Than Half Time,20,33.3%,19,-51.3%,13,-55.2%,,,52,-37.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","44
65","-6.4%
0.0%",26,8.3%,3,-25.0%,,,"73
65","-2.7%
0.0%",
,Full-Time,"1,776",4.7%,256,4.1%,370,9.1%,,,"2,402",5.3%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
