Office of Institutional Studies and Planning,,,,,
for the Corps of Cadets,,,,,
Spring 2006,,,,,
Official Certified 12th Class Day Data,,,,,
Spring 2006,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"39,551","2,040","41,591",
Gender,Female,"19,676",183,"19,859",
,Male,"19,875","1,857","21,732",
Ethnicity,White,"29,512","1,647","31,159",
,Black,"1,135",43,"1,178",
,Hispanic,"4,005",260,"4,265",
,Asian,"1,370",60,"1,430",
,American Indian,186,11,197,
,International,"3,138",11,"3,149",
,Unknown/Other,205,8,213,
TAMU Age,<18,3,,3,
Categories,18-21,"17,651","1,098","18,749",
,22-25,"15,215",886,"16,101",
,26-30,"3,500",48,"3,548",
,31-39,"2,201",8,"2,209",
,40+,981,,981,
College,Agriculture,"5,709",335,"6,044",
,Architecture,"1,588",105,"1,693",
,Business Admin,"4,427",127,"4,554",
,Education,"5,076",118,"5,194",
,Engineering,"7,599",476,"8,075",
,G. Bush School of Govt,192,7,199,
,Geosciences,652,51,703,
,Liberal Arts,"6,173",468,"6,641",
,Science,"2,524",68,"2,592",
,Veterinary Medicine,"2,281",49,"2,330",
,General Studies,"2,974",233,"3,207",
,Other - Special Populations,356,3,359,
Enrollment,1st Time in College,93,2,95,
Status,1st Time PB,122,4,126,
,1st Time Graduate,448,5,453,
,1st Time Transfer,762,16,778,
,Readmitted,224,11,235,
,Continuing,"37,902","2,002","39,904",
Tuition,Resident Tuition,"33,844","1,763","35,607",
Status,Non-Resident Tuition,"1,603",14,"1,617",
,Tuition Exemption/Waiver,"4,104",263,"4,367",
Residency,Texas Resident,"34,341","1,782","36,123",
Status,"Non-TX, US Resident","2,019",246,"2,265",
,"Non-TX, Non-US Resident","3,191",12,"3,203",
SCH,< 6 SCH,"2,253",36,"2,289",
Categories,6-8 SCH,"1,952",71,"2,023",
,9-11 SCH,"6,460",68,"6,528",
,12-14 SCH,"15,515",801,"16,316",
,15-17 SCH,"11,879",933,"12,812",
,>17 SCH,"1,492",131,"1,623",
Ft/Pt:,Less Than Half Time,"1,868",32,"1,900",
TAMU,Half-Time,"1,848",67,"1,915",
Status,Three-Quarter Time,"1,812",55,"1,867",
,Full-Time,"34,023","1,886","35,909",
"Prepared by OISP, 21 Apr 06",,,,,
