Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,281",4.9%,312,-11.1%,100,-7.4%,,,"1,693",0.8%,
Gender,Female,364,2.5%,111,-16.5%,34,-2.9%,,,509,-2.7%,
,Male,917,5.9%,201,-7.8%,66,-9.6%,,,"1,184",2.3%,
Ethnicity,White,"1,070",3.3%,159,-5.4%,24,-11.1%,,,"1,253",1.8%,
,Black,14,0.0%,9,125.0%,1,0.0%,,,24,26.3%,
,Hispanic,145,22.9%,22,10.0%,3,0.0%,,,170,20.6%,
,Asian,32,14.3%,15,0.0%,2,100.0%,,,49,11.4%,
,American Indian,5,-44.4%,,,,,,,5,-44.4%,
,International,10,0.0%,102,-26.1%,68,-8.1%,,,180,-18.9%,
,Unknown/Other,5,-16.7%,5,-16.7%,2,0.0%,,,12,-14.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,581,8.8%,,,,,,,581,8.8%,
,22-25,638,1.8%,104,-6.3%,1,0.0%,,,743,0.5%,
,26-30,45,2.3%,141,-15.6%,20,-23.1%,,,206,-13.1%,
,31-39,11,10.0%,57,-10.9%,55,0.0%,,,123,-4.7%,
,40+,6,0.0%,10,11.1%,24,-7.7%,,,40,-2.4%,
Enrollment,1st Time in College,4,33.3%,,,,,,,4,33.3%,
Status,1st Time PB,,,3,-25.0%,,,,,3,-25.0%,
,1st Time Graduate,,,10,11.1%,1,0.0%,,,11,10.0%,
,1st Time Transfer,36,-7.7%,,,,,,,36,-7.7%,
,Readmitted,6,-14.3%,1,100.0%,0,-100.0%,,,7,-12.5%,
,Continuing,"1,235",5.4%,298,-11.8%,99,-6.6%,,,"1,632",1.0%,
Tuition,Resident Tuition,"1,230",4.9%,167,-9.2%,26,-10.3%,,,"1,423",2.7%,
Status,Non-Resident Tuition,20,-25.9%,20,-20.0%,20,11.1%,,,60,-14.3%,
,Tuition Exemption/Waiver,31,40.9%,125,-12.0%,54,-11.5%,,,210,-6.7%,
Residency,Texas Resident,"1,241",5.9%,172,-6.5%,29,0.0%,,,"1,442",4.1%,
Status,"Non-TX, US Resident",30,-21.1%,38,31.0%,3,-40.0%,,,71,-1.4%,
,"Non-TX, Non-US Resident",10,-9.1%,102,-26.1%,68,-8.1%,,,180,-19.3%,
SCH,< 6 SCH,8,-50.0%,37,-24.5%,30,15.4%,,,75,-17.6%,
Categories,6-8 SCH,114,11.8%,18,12.5%,2,-50.0%,,,134,9.8%,
,9-11 SCH,69,-25.0%,117,-11.4%,65,-14.5%,,,251,-16.3%,
,12-14 SCH,599,-11.1%,92,-21.4%,2,100.0%,,,693,-12.5%,
,15-17 SCH,432,43.5%,48,29.7%,1,0.0%,,,481,41.9%,
,>17 SCH,59,63.9%,,,,,,,59,63.9%,
Ft/Pt:,Less Than Half Time,8,-50.0%,28,-31.7%,26,8.3%,,,62,-23.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","114
66","235.3%
-25.8%",26,8.3%,6,0.0%,,,"146
66","128.1%
-25.8%",
,Full-Time,"1,093",1.0%,258,-9.8%,68,-12.8%,,,"1,419",-1.9%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
