Office of Institutional Studies and Planning,,,,,,
Katrina Students,,,,,,
(Not included in University Total Enrollment) Spring 2006,,,,,,
Official Certified 12th Class Day Data,,,,,,
Spring 2006,,Undergraduate,Masters,PhD,Grand Total,
Head Count,Total,39,7,1,47,
College,Agriculture,2,,,2,
,Architecture,1,2,,3,
Business Admin,,18,1,,19,
,Education,1,1,,2,
Engineering,,5,1,1,7,
,Liberal Arts,4,1,,5,
Science,,4,1,,5,
,General Studies,3,,,3,
"Other - Special
Populations",,1,,,1,
SCH,6-8 SCH,,,1,1,
Categories,9-11 SCH,,5,,5,
,12-14 SCH,17,2,,19,
15-17 SCH,,22,,,22,
"Prepared by OISP, 21 Apr 06",,,,,,
