Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,706,7.6%,16,166.7%,0,-100.0%,,,722,9.1%,
,AGBL,109,-2.7%,,,,,,,109,-2.7%,
,AGBU,76,-16.5%,0,-100.0%,,,,,76,-40.2%,
,AGEC,311,8.7%,40,37.9%,54,14.9%,,,405,11.9%,
,AGED,,,46,-2.1%,37,-15.9%,,,83,-8.8%,
,AGEN,113,0.9%,1,0.0%,,,,,114,0.9%,
,AGJR,88,2.3%,,,,,,,88,2.3%,
,AGLS,310,-3.7%,,,,,,,310,-3.7%,
,AGRO,110,-5.2%,13,-23.5%,12,-25.0%,,,135,-9.4%,
,AGSC,116,-24.7%,,,,,,,116,-24.7%,
,AGSM,166,-12.2%,4,300.0%,,,,,170,-10.5%,
,ANBR,,,2,-60.0%,1,0.0%,,,3,-50.0%,
,ANSC,689,-3.4%,63,6.8%,18,-10.0%,,,770,-2.8%,
,BAEN,,,18,-18.2%,19,5.6%,,,37,-7.5%,
,BESC,179,7.8%,,,,,,,179,7.8%,
,BICH,182,11.7%,34,-2.9%,70,-1.4%,,,286,6.3%,
,BSEN,11,-50.0%,,,,,,,11,-50.0%,
,DASC,7,0.0%,,,,,,,7,0.0%,
,ENST,9,100.0%,,,,,,,9,100.0%,
,ENTO,102,32.5%,23,-14.8%,29,3.6%,,,154,16.7%,
,FISC,,,1,100.0%,,,,,1,100.0%,
,FLOR,9,-25.0%,3,0.0%,,,,,12,-20.0%,
,FORS,36,-10.0%,10,-9.1%,6,0.0%,,,52,-8.8%,
,FSTC,55,34.1%,2,-90.9%,0,-100.0%,,,57,-32.1%,
,GENE,145,-2.0%,9,-43.8%,1,-96.8%,,,155,-20.5%,
,HORT,135,0.7%,10,-37.5%,14,-17.6%,,,159,-4.8%,
,MEPS,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,NRDV,,,7,-12.5%,,,,,7,-12.5%,
,NUSC,442,20.4%,,,,,,,442,20.4%,
,NUTR,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,PLBR,,,13,-7.1%,15,7.1%,,,28,0.0%,
,PLPA,,,7,250.0%,16,0.0%,,,23,27.8%,
,PLSC,,,2,-33.3%,,,,,2,-33.3%,
,POSC,144,-21.3%,14,-26.3%,15,0.0%,,,173,-20.3%,
,PPRO,,,1,0.0%,,,,,1,0.0%,
,PREP,,,10,-44.4%,12,9.1%,,,22,-24.1%,
,PSSC,1,-66.7%,,,,,,,1,-66.7%,
,RENR,27,-28.9%,,,,,,,27,-28.9%,
,RLEM,130,-5.8%,29,0.0%,15,-37.5%,,,174,-8.9%,
,RPTS,294,10.1%,25,38.9%,36,-2.7%,,,355,10.2%,
,SOSC,,,12,-7.7%,7,-12.5%,,,19,-9.5%,
,SPSA,12,140.0%,,,,,,,12,140.0%,
,TOXI,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
