Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,699",-3.9%,59,-6.3%,63,-29.2%,509,-0.2%,"2,330",-4.1%,
Gender,Female,"1,159",-2.3%,44,0.0%,34,-29.2%,375,0.5%,"1,612",-2.4%,
,Male,540,-7.2%,15,-21.1%,29,-29.3%,134,-2.2%,718,-7.8%,
Ethnicity,White,"1,269",-6.1%,42,13.5%,29,-32.6%,452,-1.3%,"1,792",-5.1%,
,Black,35,-5.4%,1,100.0%,1,0.0%,4,0.0%,41,-2.4%,
,Hispanic,231,0.9%,6,50.0%,2,0.0%,30,3.4%,269,1.9%,
,Asian,145,19.8%,3,-25.0%,3,-25.0%,16,23.1%,167,17.6%,
,American Indian,8,-27.3%,1,100.0%,,,1,0.0%,10,-16.7%,
,International,8,-20.0%,6,-66.7%,26,-27.8%,,,40,-37.5%,
,Unknown/Other,3,-66.7%,,,2,-33.3%,6,20.0%,11,-35.3%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"1,193",-7.0%,1,100.0%,,,2,0.0%,"1,196",-6.9%,
,22-25,497,6.4%,28,-3.4%,6,-50.0%,244,-0.8%,775,2.8%,
,26-30,7,-41.7%,17,-19.0%,25,-34.2%,202,6.3%,251,-3.8%,
,31-39,1,-75.0%,11,37.5%,22,-21.4%,52,-14.8%,86,-14.9%,
,40+,1,0.0%,2,-60.0%,10,-9.1%,9,-18.2%,22,-21.4%,
Enrollment,1st Time in College,7,16.7%,,,,,,,7,16.7%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,8,14.3%,2,100.0%,,,10,25.0%,
,1st Time Transfer,0,-100.0%,,,,,,,0,-100.0%,
,Readmitted,5,-44.4%,,,0,-100.0%,,,5,-50.0%,
,Continuing,"1,687",-2.9%,51,-7.3%,61,-29.9%,509,-0.2%,"2,308",-3.4%,
Tuition,Resident Tuition,"1,612",-6.4%,39,8.3%,24,-29.4%,461,-3.2%,"2,136",-5.8%,
Status,Non-Resident Tuition,21,-16.0%,4,0.0%,4,-50.0%,4,-20.0%,33,-21.4%,
,Tuition Exemption/Waiver,66,214.3%,16,-30.4%,35,-25.5%,44,51.7%,161,34.2%,
Residency,Texas Resident,"1,651",-4.0%,40,8.1%,26,-27.8%,469,-1.5%,"2,186",-3.7%,
Status,"Non-TX, US Resident",40,8.1%,13,62.5%,10,-41.2%,40,17.6%,103,7.3%,
,"Non-TX, Non-US Resident",8,-27.3%,6,-66.7%,27,-25.0%,,,41,-36.9%,
SCH,< 6 SCH,17,183.3%,11,-15.4%,12,9.1%,,,40,33.3%,
Categories,6-8 SCH,38,-9.5%,9,80.0%,2,-33.3%,,,49,-2.0%,
,9-11 SCH,101,46.4%,33,-25.0%,47,-36.5%,,,181,-3.2%,
,12-14 SCH,836,-27.7%,6,500.0%,2,100.0%,0,-100.0%,844,-27.2%,
,15-17 SCH,673,45.0%,,,,,,,673,45.0%,
,>17 SCH,34,9.7%,,,,,509,0.0%,543,0.6%,
Ft/Pt:,Less Than Half Time,17,240.0%,7,16.7%,10,11.1%,,,34,70.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","37
98","-9.8%
42.0%",13,8.3%,4,-20.0%,,,"54
98","-6.9%
42.0%",
,Full-Time,"1,547",-6.4%,39,-13.3%,49,-34.7%,509,-0.2%,"2,144",-6.1%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
