Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,953",2.9%,541,2.7%,700,1.3%,,,"5,194",2.7%,
Gender,Female,"3,032",0.2%,406,2.8%,478,0.4%,,,"3,916",0.5%,
,Male,921,13.3%,135,2.3%,222,3.3%,,,"1,278",10.2%,
Ethnicity,White,"3,368",0.9%,413,8.7%,390,-1.3%,,,"4,171",1.4%,
,Black,111,42.3%,34,-2.9%,91,-4.2%,,,236,13.5%,
,Hispanic,380,13.1%,50,-24.2%,116,10.5%,,,546,7.7%,
,Asian,62,24.0%,3,-50.0%,12,50.0%,,,77,20.3%,
,American Indian,14,-12.5%,1,0.0%,3,50.0%,,,18,-5.3%,
,International,10,0.0%,32,0.0%,79,3.9%,,,121,2.5%,
,Unknown/Other,8,-27.3%,8,14.3%,9,-10.0%,,,25,-10.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,749",-0.8%,,,,,,,"1,749",-0.8%,
,22-25,"2,040",5.6%,244,36.3%,15,-40.0%,,,"2,299",7.6%,
,26-30,100,11.1%,133,-18.9%,111,13.3%,,,344,-2.3%,
,31-39,40,-2.4%,91,-11.7%,267,6.0%,,,398,0.5%,
,40+,24,71.4%,73,-9.9%,307,-2.8%,,,404,-1.7%,
Enrollment,1st Time in College,5,-28.6%,,,,,,,5,-28.6%,
Status,1st Time PB,0,-100.0%,27,-6.9%,,,,,27,-12.9%,
,1st Time Graduate,,,68,17.2%,27,42.1%,,,95,23.4%,
,1st Time Transfer,148,-11.9%,,,,,,,148,-11.9%,
,Readmitted,22,-35.3%,1,-66.7%,3,-50.0%,,,26,-39.5%,
,Continuing,"3,778",4.1%,445,1.8%,670,0.6%,,,"4,893",3.4%,
Tuition,Resident Tuition,"3,836",1.9%,464,3.1%,552,-3.2%,,,"4,852",1.4%,
Status,Non-Resident Tuition,52,20.9%,23,-11.5%,43,53.6%,,,118,21.6%,
,Tuition Exemption/Waiver,65,91.2%,54,5.9%,105,12.9%,,,224,25.8%,
Residency,Texas Resident,"3,865",2.7%,474,5.3%,572,-0.3%,,,"4,911",2.6%,
Status,"Non-TX, US Resident",78,18.2%,36,-20.0%,48,17.1%,,,162,6.6%,
,"Non-TX, Non-US Resident",10,-9.1%,31,-3.1%,80,5.3%,,,121,1.7%,
SCH,< 6 SCH,36,-14.3%,149,44.7%,338,11.2%,,,523,16.5%,
Categories,6-8 SCH,398,13.4%,158,-21.8%,117,0.9%,,,673,0.6%,
,9-11 SCH,281,-0.4%,160,3.9%,218,16.6%,,,659,5.8%,
,12-14 SCH,"1,620",-16.3%,63,1.6%,23,-69.7%,,,"1,706",-17.7%,
,15-17 SCH,"1,486",32.6%,10,66.7%,4,-50.0%,,,"1,500",32.2%,
,>17 SCH,132,21.1%,1,100.0%,,,,,133,22.0%,
Ft/Pt:,Less Than Half Time,35,-5.4%,121,44.0%,269,7.6%,,,425,14.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","126
225","-4.5%
-8.5%",184,-16.7%,186,10.7%,,,"496
225","-4.8%
-8.5%",
,Full-Time,"3,567",4.1%,236,6.3%,245,-10.3%,,,"4,048",3.3%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
