Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,924",-2.1%,282,-8.4%,435,3.8%,,,"6,641",-2.0%,
Gender,Female,"3,574",-1.4%,137,-7.4%,200,6.4%,,,"3,911",-1.2%,
,Male,"2,350",-3.2%,145,-9.4%,235,1.7%,,,"2,730",-3.1%,
Ethnicity,White,"4,818",-3.2%,167,-8.2%,253,1.6%,,,"5,238",-3.2%,
,Black,170,6.3%,11,-8.3%,11,57.1%,,,192,7.3%,
,Hispanic,714,6.4%,38,5.6%,33,13.8%,,,785,6.7%,
,Asian,145,8.2%,17,142.9%,8,33.3%,,,170,15.6%,
,American Indian,24,-27.3%,,,3,0.0%,,,27,-25.0%,
,International,32,-17.9%,43,-32.8%,113,0.9%,,,188,-12.6%,
,Unknown/Other,21,-40.0%,6,-14.3%,14,7.7%,,,41,-25.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,913",1.8%,1,100.0%,1,100.0%,,,"2,915",1.9%,
,22-25,"2,813",-5.3%,114,-8.8%,27,8.0%,,,"2,954",-5.3%,
,26-30,124,-13.9%,96,-10.3%,159,7.4%,,,379,-5.0%,
,31-39,48,9.1%,46,-17.9%,180,4.7%,,,274,0.7%,
,40+,26,-16.1%,25,25.0%,68,-8.1%,,,119,-4.8%,
Enrollment,1st Time in College,17,13.3%,,,,,,,17,13.3%,
Status,1st Time PB,0,-100.0%,4,0.0%,,,,,4,-20.0%,
,1st Time Graduate,,,3,-50.0%,4,33.3%,,,7,-22.2%,
,1st Time Transfer,165,-9.3%,,,,,,,165,-9.3%,
,Readmitted,49,-26.9%,1,0.0%,0,-100.0%,,,50,-29.6%,
,Continuing,"5,693",-1.6%,274,-7.7%,431,4.4%,,,"6,398",-1.5%,
Tuition,Resident Tuition,"5,567",-3.7%,129,-9.2%,173,0.6%,,,"5,869",-3.7%,
Status,Non-Resident Tuition,135,-0.7%,45,-18.2%,62,10.7%,,,242,-2.0%,
,Tuition Exemption/Waiver,222,65.7%,108,-2.7%,200,4.7%,,,530,21.6%,
Residency,Texas Resident,"5,644",-2.7%,136,-6.2%,179,3.5%,,,"5,959",-2.6%,
Status,"Non-TX, US Resident",243,18.0%,103,6.2%,140,6.1%,,,486,11.7%,
,"Non-TX, Non-US Resident",37,-11.9%,43,-34.8%,116,1.8%,,,196,-11.7%,
SCH,< 6 SCH,90,5.9%,49,-16.9%,116,-4.1%,,,255,-3.8%,
Categories,6-8 SCH,232,0.9%,19,-32.1%,15,50.0%,,,266,-0.7%,
,9-11 SCH,403,-10.0%,209,-0.5%,297,6.1%,,,909,-3.1%,
,12-14 SCH,"2,333",-24.2%,4,-55.6%,4,-33.3%,,,"2,341",-24.3%,
,15-17 SCH,"2,578",27.5%,1,-50.0%,1,-50.0%,,,"2,580",27.3%,
,>17 SCH,288,54.0%,,,2,100.0%,,,290,55.1%,
Ft/Pt:,Less Than Half Time,80,14.3%,40,-9.1%,93,8.1%,,,213,6.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","226
388","1.8%
-11.4%",27,-37.2%,37,-15.9%,,,"290
388","-6.1%
-11.4%",
,Full-Time,"5,230",-1.7%,215,-2.7%,305,5.5%,,,"5,750",-1.4%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
