Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,442,1.4%,141,-14.0%,120,0.8%,,,703,-2.2%,
Gender,Female,168,9.8%,59,-13.2%,44,4.8%,,,271,3.0%,
,Male,274,-3.2%,82,-14.6%,76,-1.3%,,,432,-5.3%,
Ethnicity,White,377,1.1%,99,-14.7%,42,10.5%,,,518,-1.7%,
,Black,3,50.0%,2,0.0%,1,100.0%,,,6,50.0%,
,Hispanic,39,-11.4%,7,-12.5%,2,-33.3%,,,48,-12.7%,
,Asian,13,44.4%,,,2,-33.3%,,,15,25.0%,
,American Indian,3,200.0%,1,0.0%,1,0.0%,,,5,66.7%,
,International,6,50.0%,28,-17.6%,70,-4.1%,,,104,-6.3%,
,Unknown/Other,1,-66.7%,4,33.3%,2,100.0%,,,7,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,191,-6.4%,,,,,,,191,-6.4%,
,22-25,211,8.2%,68,1.5%,3,-25.0%,,,282,6.0%,
,26-30,25,13.6%,41,-28.1%,45,12.5%,,,111,-6.7%,
,31-39,14,27.3%,27,-10.0%,53,-5.4%,,,94,-3.1%,
,40+,1,-75.0%,5,-50.0%,19,0.0%,,,25,-24.2%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,1,-50.0%,1,-66.7%,,,,,2,-60.0%,
,1st Time Graduate,,,6,-50.0%,4,33.3%,,,10,-33.3%,
,1st Time Transfer,13,-35.0%,,,,,,,13,-35.0%,
,Readmitted,5,66.7%,0,-100.0%,,,,,5,25.0%,
,Continuing,423,2.9%,134,-9.5%,116,0.0%,,,673,-0.3%,
Tuition,Resident Tuition,410,-1.4%,65,-7.1%,21,16.7%,,,496,-1.6%,
Status,Non-Resident Tuition,10,11.1%,12,-7.7%,16,0.0%,,,38,0.0%,
,Tuition Exemption/Waiver,22,100.0%,64,-21.0%,83,-2.4%,,,169,-4.5%,
Residency,Texas Resident,420,1.2%,66,-2.9%,21,16.7%,,,507,1.2%,
Status,"Non-TX, US Resident",16,0.0%,46,-25.8%,27,3.8%,,,89,-14.4%,
,"Non-TX, Non-US Resident",6,20.0%,29,-14.7%,72,-4.0%,,,107,-6.1%,
SCH,< 6 SCH,4,-20.0%,27,-12.9%,13,-13.3%,,,44,-13.7%,
Categories,6-8 SCH,15,-21.1%,12,50.0%,3,200.0%,,,30,7.1%,
,9-11 SCH,23,-20.7%,98,-19.7%,102,0.0%,,,223,-11.9%,
,12-14 SCH,190,-16.3%,3,0.0%,2,100.0%,,,195,-15.6%,
,15-17 SCH,194,32.9%,1,100.0%,,,,,195,33.6%,
,>17 SCH,16,60.0%,,,,,,,16,60.0%,
Ft/Pt:,Less Than Half Time,4,-20.0%,24,9.1%,12,-7.7%,,,40,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","15
23","-16.7%
-20.7%",9,-30.8%,1,-50.0%,,,"25
23","-24.2%
-20.7%",
,Full-Time,400,4.2%,108,-16.3%,107,2.9%,,,615,-0.3%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
