Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,43,7.5%,163,158.7%,153,1430.0%,,,359,217.7%,
Gender,Female,21,16.7%,78,110.8%,74,100.0%,,,173,214.5%,
,Male,22,0.0%,85,226.9%,79,690.0%,,,186,220.7%,
Ethnicity,White,,,79,192.6%,60,5900.0%,,,139,396.4%,
,Black,,,3,200.0%,1,100.0%,,,4,300.0%,
,Hispanic,,,16,166.7%,4,100.0%,,,20,233.3%,
,Asian,,,6,50.0%,4,100.0%,,,10,150.0%,
,American Indian,,,,,,,,,,,
,International,43,7.5%,58,152.2%,82,811.1%,,,183,154.2%,
,Unknown/Other,,,1,-50.0%,2,100.0%,,,3,50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,13,18.2%,,,,,,,13,18.2%,
,22-25,29,0.0%,70,180.0%,13,100.0%,,,112,107.4%,
,26-30,1,100.0%,64,204.8%,67,2133.3%,,,132,450.0%,
,31-39,,,25,150.0%,58,728.6%,,,83,388.2%,
,40+,,,4,-42.9%,15,100.0%,,,19,171.4%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,11,-21.4%,,,,,11,-21.4%,
,1st Time Graduate,,,12,100.0%,2,100.0%,,,14,133.3%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,43,7.5%,140,225.6%,151,1410.0%,,,334,259.1%,
Tuition,Resident Tuition,,,78,116.7%,50,100.0%,,,128,255.6%,
Status,Non-Resident Tuition,43,10.3%,19,171.4%,21,2000.0%,,,83,76.6%,
,Tuition Exemption/Waiver,0,-100.0%,66,230.0%,82,811.1%,,,148,393.3%,
Residency,Texas Resident,,,79,113.5%,51,100.0%,,,130,251.4%,
Status,"Non-TX, US Resident",,,25,733.3%,20,1900.0%,,,45,1025.0%,
,"Non-TX, Non-US Resident",43,7.5%,59,156.5%,82,811.1%,,,184,155.6%,
SCH,< 6 SCH,0,-100.0%,41,36.7%,19,100.0%,,,60,93.5%,
Categories,6-8 SCH,,,19,137.5%,0,-100.0%,,,19,111.1%,
,9-11 SCH,,,84,500.0%,130,1344.4%,,,214,830.4%,
,12-14 SCH,23,-14.8%,19,111.1%,2,100.0%,,,44,22.2%,
,15-17 SCH,17,54.5%,0,-100.0%,1,100.0%,,,18,38.5%,
,>17 SCH,3,200.0%,,,1,100.0%,,,4,300.0%,
Ft/Pt:,Less Than Half Time,,,30,15.4%,17,100.0%,,,47,80.8%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,27,145.5%,2,100.0%,,,29,141.7%,
,Full-Time,43,7.5%,106,307.7%,134,1388.9%,,,283,277.3%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
