Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,199,10.6%,,,,,199,10.6%,
Gender,Female,,,80,11.1%,,,,,80,11.1%,
,Male,,,119,10.2%,,,,,119,10.2%,
Ethnicity,White,,,149,5.7%,,,,,149,5.7%,
,Black,,,8,14.3%,,,,,8,14.3%,
,Hispanic,,,22,46.7%,,,,,22,46.7%,
,Asian,,,3,-25.0%,,,,,3,-25.0%,
,American Indian,,,1,0.0%,,,,,1,0.0%,
,International,,,14,27.3%,,,,,14,27.3%,
,Unknown/Other,,,2,100.0%,,,,,2,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,86,21.1%,,,,,86,21.1%,
,26-30,,,67,8.1%,,,,,67,8.1%,
,31-39,,,35,20.7%,,,,,35,20.7%,
,40+,,,11,-38.9%,,,,,11,-38.9%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,28,-3.4%,,,,,28,-3.4%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,171,13.2%,,,,,171,13.2%,
Tuition,Resident Tuition,,,136,-3.5%,,,,,136,-3.5%,
Status,Non-Resident Tuition,,,7,133.3%,,,,,7,133.3%,
,Tuition Exemption/Waiver,,,56,55.6%,,,,,56,55.6%,
Residency,Texas Resident,,,145,0.7%,,,,,145,0.7%,
Status,"Non-TX, US Resident",,,38,65.2%,,,,,38,65.2%,
,"Non-TX, Non-US Resident",,,16,23.1%,,,,,16,23.1%,
SCH,< 6 SCH,,,40,-21.6%,,,,,40,-21.6%,
Categories,6-8 SCH,,,23,9.5%,,,,,23,9.5%,
,9-11 SCH,,,18,-30.8%,,,,,18,-30.8%,
,12-14 SCH,,,110,42.9%,,,,,110,42.9%,
,15-17 SCH,,,8,60.0%,,,,,8,60.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,40,-21.6%,,,,,40,-21.6%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,23,9.5%,,,,,23,9.5%,
,Full-Time,,,136,25.9%,,,,,136,25.9%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
