Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Spring 2006,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Spring 2006,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,295,"3,930","3,359",5,"7,589",
Gender,Female,127,"1,607","1,320",2,"3,056",
,Male,168,"2,323","2,039",3,"4,533",
Ethnicity,White,210,"2,284","1,296",2,"3,792",
,Black,9,132,136,,277,
,Hispanic,26,276,220,,522,
,Asian,6,119,82,,207,
,American Indian,3,9,11,,23,
,International,36,"1,055","1,569",3,"2,663",
,Unknown/Other,5,55,45,,105,
TAMU Age,18-21,,13,1,,14,
Categories,22-25,102,"1,931",175,1,"2,209",
,26-30,79,"1,260","1,233",3,"2,575",
,31-39,64,525,"1,341",,"1,930",
,40+,50,201,609,1,861,
College,Agriculture,38,476,441,1,956,
,Architecture,7,305,100,,412,
,Business Admin,4,680,67,,751,
,Education,81,459,700,1,"1,241",
,Engineering,22,"1,009",894,2,"1,927",
,G. Bush School of Govt,74,125,,,199,
,Geosciences,3,138,120,,261,
,Liberal Arts,17,265,435,,717,
,Science,17,284,386,,687,
,Veterinary Medicine,2,56,63,1,122,
,Other - Special Populations,30,133,153,,316,
Enrollment,1st Time PB,119,,,,119,
Status,1st Time Graduate,,358,91,4,453,
,Readmitted,,10,3,,13,
,Continuing,176,"3,562","3,265",1,"7,004",
Tuition Status,Resident Tuition,236,"2,207","1,215",2,"3,660",
,Non-Resident Tuition,34,345,428,3,810,
,Tuition Exemption/Waiver,25,"1,378","1,716",,"3,119",
Residency,Texas Resident,248,"2,249","1,264",2,"3,763",
Status,"Non-TX, US Resident",12,617,502,,"1,131",
,"Non-TX, Non-US Resident",35,"1,064","1,593",3,"2,695",
SCH,< 6 SCH,158,485,745,,"1,388",
Categories,6-8 SCH,82,350,177,1,610,
,9-11 SCH,39,"2,155","2,348",4,"4,546",
,12-14 SCH,15,720,73,,808,
,15-17 SCH,1,139,10,,150,
,>17 SCH,,81,6,,87,
Ft/Pt: TAMU,Less Than Half Time,137,381,607,,"1,125",
Status,Half-Time,100,422,297,1,820,
,Full-Time,58,"3,127","2,455",4,"5,644",
"Prepared by OISP, 21 Apr 06",,,,,,,
