Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,803",0.3%,684,3.0%,67,-8.2%,,,"4,554",0.6%,
Gender,Female,"2,059",-1.7%,269,-2.2%,25,-19.4%,,,"2,353",-2.0%,
,Male,"1,744",2.9%,415,6.7%,42,0.0%,,,"2,201",3.5%,
Ethnicity,White,"3,247",-2.2%,481,3.9%,32,6.7%,,,"3,760",-1.4%,
,Black,69,7.8%,21,-8.7%,1,-50.0%,,,91,2.2%,
,Hispanic,302,28.0%,35,2.9%,2,-33.3%,,,339,24.2%,
,Asian,131,15.9%,19,-34.5%,2,100.0%,,,152,6.3%,
,American Indian,17,13.3%,0,-100.0%,,,,,17,6.3%,
,International,30,11.1%,114,8.6%,28,-20.0%,,,172,3.0%,
,Unknown/Other,7,-50.0%,14,55.6%,2,0.0%,,,23,-8.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,286",1.6%,7,250.0%,,,,,"2,293",1.8%,
,22-25,"1,470",-1.7%,428,8.6%,1,-50.0%,,,"1,899",0.4%,
,26-30,22,-8.3%,123,-5.4%,25,-13.8%,,,170,-7.1%,
,31-39,12,20.0%,74,-21.3%,30,0.0%,,,116,-13.4%,
,40+,13,30.0%,52,18.2%,11,-8.3%,,,76,15.2%,
Enrollment,1st Time in College,16,45.5%,,,,,,,16,45.5%,
Status,1st Time PB,,,2,100.0%,,,,,2,100.0%,
,1st Time Graduate,,,88,49.2%,0,-100.0%,,,88,46.7%,
,1st Time Transfer,2,100.0%,,,,,,,2,100.0%,
,Readmitted,15,-21.1%,,,,,,,15,-21.1%,
,Continuing,"3,770",0.3%,594,-1.7%,67,-6.9%,,,"4,431",-0.1%,
Tuition,Resident Tuition,"3,683",-0.2%,528,1.0%,16,-5.9%,,,"4,227",-0.1%,
Status,Non-Resident Tuition,41,-10.9%,26,8.3%,5,0.0%,,,72,-4.0%,
,Tuition Exemption/Waiver,79,51.9%,130,11.1%,46,-9.8%,,,255,15.9%,
Residency,Texas Resident,"3,708",0.4%,530,1.5%,20,-4.8%,,,"4,258",0.5%,
Status,"Non-TX, US Resident",63,-8.7%,40,8.1%,17,6.3%,,,120,-1.6%,
,"Non-TX, Non-US Resident",32,10.3%,114,8.6%,30,-16.7%,,,176,3.5%,
SCH,< 6 SCH,33,10.0%,13,8.3%,6,-25.0%,,,52,4.0%,
Categories,6-8 SCH,102,-4.7%,26,-27.8%,1,100.0%,,,129,-9.8%,
,9-11 SCH,285,14.0%,151,-3.8%,60,-6.3%,,,496,5.3%,
,12-14 SCH,"2,092",-8.7%,348,13.0%,0,-100.0%,,,"2,440",-6.2%,
,15-17 SCH,"1,249",17.4%,66,-2.9%,,,,,"1,315",16.2%,
,>17 SCH,42,-10.6%,80,-3.6%,,,,,122,-6.2%,
Ft/Pt:,Less Than Half Time,25,8.7%,12,20.0%,5,-28.6%,,,42,5.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","94
264","-12.1%
14.3%",20,-44.4%,2,100.0%,,,"116
264","-19.4%
14.3%",
,Full-Time,"3,420",-0.3%,652,5.5%,60,-7.7%,,,"4,132",0.5%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
