Spring 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,32,0.0%,1,0.0%,5,25.0%,0,-100.0%,1,100.0%,20,-4.8%,3,50.0%,56,-1.8%,
,ENGS,37,19.4%,,,,,3,0.0%,,,,,,,45,18.4%,
,ENST,29,-9.4%,1,100.0%,3,-40.0%,1,100.0%,,,0,-100.0%,,,35,-7.9%,
,ESCI,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,GEOG,124,-3.1%,4,100.0%,10,-50.0%,2,0.0%,2,0.0%,19,-5.0%,2,0.0%,163,-7.4%,
,GEOL,109,-8.4%,,,12,20.0%,2,0.0%,1,100.0%,28,16.7%,2,-33.3%,154,-2.5%,
,GEOP,21,-8.7%,0,-100.0%,0,-100.0%,1,0.0%,1,0.0%,17,-29.2%,,,40,-21.6%,
,GEOS,2,-50.0%,,,,,,,,,1,100.0%,,,3,-25.0%,
,METR,123,7.9%,,,16,23.1%,5,150.0%,,,1,100.0%,,,145,12.4%,
,OCNG,40,-4.8%,,,2,0.0%,1,0.0%,,,18,-14.3%,,,61,-7.6%,
,SPSG,1,100.0%,,,,,,,,,,,,,1,100.0%,
,Subtotal,518,-1.7%,6,50.0%,48,-12.7%,15,25.0%,5,66.7%,104,-6.3%,7,0.0%,703,-2.2%,
Liberal Arts,AMST,18,-28.0%,2,100.0%,3,-25.0%,,,,,,,,,23,-20.7%,
,ANTH,184,0.0%,1,100.0%,16,-5.9%,5,66.7%,0,-100.0%,17,6.3%,4,0.0%,227,0.9%,
,COML,3,200.0%,,,0,-100.0%,,,,,1,-50.0%,,,4,0.0%,
,ECON,396,-8.8%,9,-25.0%,57,-19.7%,29,16.0%,0,-100.0%,86,-3.4%,3,-40.0%,580,-8.9%,
,ENGL,670,1.1%,28,16.7%,55,10.0%,15,15.4%,6,-14.3%,24,-4.0%,3,-57.1%,801,1.5%,
,FREN,14,40.0%,0,-100.0%,2,0.0%,1,0.0%,,,,,,,17,21.4%,
,GERM,1,-88.9%,,,0,-100.0%,,,,,,,,,1,-90.0%,
,HISP,6,100.0%,,,8,14.3%,,,,,1,100.0%,,,15,50.0%,
,HIST,630,1.8%,15,87.5%,63,28.6%,9,50.0%,4,100.0%,4,33.3%,9,-25.0%,734,5.0%,
,INTS,289,9.1%,11,0.0%,81,22.7%,17,88.9%,4,0.0%,2,-50.0%,2,0.0%,406,12.5%,
,JOUR,17,-81.7%,2,-33.3%,1,-87.5%,1,-50.0%,,,0,-100.0%,1,-50.0%,22,-79.8%,
,MODL,2,-60.0%,,,3,0.0%,,,,,0,-100.0%,,,5,-44.4%,
,MUSC,15,-25.0%,2,100.0%,4,33.3%,1,100.0%,,,,,,,22,-8.3%,
,PHIL,100,-8.3%,3,-25.0%,9,-40.0%,3,-25.0%,,,4,-20.0%,3,0.0%,122,-12.9%,
,POLS,784,-1.3%,27,-6.9%,122,10.9%,23,-4.2%,3,-50.0%,16,-5.9%,4,-20.0%,979,-0.6%,
,PSYC,906,-12.4%,43,-12.2%,166,1.2%,35,-2.8%,5,-28.6%,11,-35.3%,3,-57.1%,"1,169",-11.0%,
,RUSS,5,25.0%,,,,,1,100.0%,,,,,1,0.0%,7,40.0%,
,SCOM,685,2.4%,14,40.0%,59,-11.9%,8,60.0%,1,-66.7%,8,-11.1%,6,20.0%,781,1.7%,
,SOCI,298,10.0%,30,25.0%,66,24.5%,18,50.0%,3,-25.0%,11,-45.0%,2,0.0%,428,10.9%,
,SPAN,68,-2.9%,0,-100.0%,41,32.3%,1,0.0%,,,1,100.0%,,,111,7.8%,
,STJR,1,-80.0%,0,-100.0%,,,,,,,0,-100.0%,,,1,-90.9%,
,TCMS,105,72.1%,3,200.0%,19,280.0%,3,-50.0%,1,0.0%,2,100.0%,,,133,77.3%,
,THAR,41,-32.8%,2,100.0%,10,11.1%,,,,,,,,,53,-24.3%,
,Subtotal,"5,238",-3.2%,192,7.3%,785,6.7%,170,15.6%,27,-25.0%,188,-12.6%,41,-25.5%,"6,641",-2.0%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,
