Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,207",-5.1%,,,,,,,"3,207",-5.1%,
Gender,Female,"1,438",-2.2%,,,,,,,"1,438",-2.2%,
,Male,"1,769",-7.2%,,,,,,,"1,769",-7.2%,
Ethnicity,White,"2,449",-6.2%,,,,,,,"2,449",-6.2%,
,Black,112,-3.4%,,,,,,,112,-3.4%,
,Hispanic,478,-2.4%,,,,,,,478,-2.4%,
,Asian,121,0.8%,,,,,,,121,0.8%,
,American Indian,24,26.3%,,,,,,,24,26.3%,
,International,17,21.4%,,,,,,,17,21.4%,
,Unknown/Other,6,-14.3%,,,,,,,6,-14.3%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,"3,030",-4.4%,,,,,,,"3,030",-4.4%,
,22-25,166,-12.2%,,,,,,,166,-12.2%,
,26-30,7,-41.7%,,,,,,,7,-41.7%,
,31-39,3,-40.0%,,,,,,,3,-40.0%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,15,7.1%,,,,,,,15,7.1%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,31,19.2%,,,,,,,31,19.2%,
,Readmitted,29,-12.1%,,,,,,,29,-12.1%,
,Continuing,"3,132",-5.2%,,,,,,,"3,132",-5.2%,
Tuition,Resident Tuition,"3,062",-6.0%,,,,,,,"3,062",-6.0%,
Status,Non-Resident Tuition,71,10.9%,,,,,,,71,10.9%,
,Tuition Exemption/Waiver,74,27.6%,,,,,,,74,27.6%,
Residency,Texas Resident,"3,098",-5.1%,,,,,,,"3,098",-5.1%,
Status,"Non-TX, US Resident",91,-5.2%,,,,,,,91,-5.2%,
,"Non-TX, Non-US Resident",18,12.5%,,,,,,,18,12.5%,
SCH,< 6 SCH,441,0.0%,,,,,,,441,0.0%,
Categories,6-8 SCH,65,0.0%,,,,,,,65,0.0%,
,9-11 SCH,72,-28.7%,,,,,,,72,-28.7%,
,12-14 SCH,"1,605",-21.9%,,,,,,,"1,605",-21.9%,
,15-17 SCH,996,41.7%,,,,,,,996,41.7%,
,>17 SCH,28,133.3%,,,,,,,28,133.3%,
Ft/Pt:,Less Than Half Time,439,-0.2%,,,,,,,439,-0.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","65
69","0.0%
-31.7%",,,,,,,"65
69","0.0%
-31.7%",
,Full-Time,"2,634",-5.0%,,,,,,,"2,634",-5.0%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
