Spring 2006,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,72,-7.7%,2,100.0%,11,10.0%,7,-12.5%,0,-100.0%,68,-18.1%,4,0.0%,164,-10.9%,
,COMG,23,-11.5%,1,100.0%,4,100.0%,3,50.0%,,,31,-18.4%,,,62,-6.1%,
,COSC,312,4.3%,3,0.0%,30,42.9%,5,0.0%,,,2,0.0%,3,200.0%,355,6.6%,
,COSL,223,-1.3%,3,50.0%,31,19.2%,1,-66.7%,2,100.0%,1,100.0%,1,-50.0%,262,0.8%,
,ENDL,248,8.3%,4,0.0%,42,50.0%,15,7.1%,2,-33.3%,2,-60.0%,0,-100.0%,313,10.2%,
,ENDS,179,2.9%,4,0.0%,28,-3.4%,9,200.0%,0,-100.0%,4,300.0%,1,0.0%,225,5.6%,
,LAND,71,4.4%,1,0.0%,11,0.0%,1,0.0%,1,-50.0%,8,-55.6%,0,-100.0%,93,-9.7%,
,LANL,53,0.0%,0,-100.0%,5,0.0%,1,-50.0%,,,,,,,59,-3.3%,
,LDEV,4,-66.7%,1,100.0%,2,100.0%,1,100.0%,,,5,-54.5%,2,100.0%,15,-34.8%,
,URPL,15,-6.3%,3,50.0%,1,-66.7%,,,,,12,-25.0%,0,-100.0%,31,-18.4%,
,URSC,10,-9.1%,1,0.0%,1,0.0%,,,,,38,5.6%,1,0.0%,51,2.0%,
,VIZA,43,10.3%,1,100.0%,4,-42.9%,6,0.0%,,,9,-25.0%,0,-100.0%,63,-3.1%,
,Subtotal,"1,253",1.8%,24,26.3%,170,20.6%,49,11.4%,5,-44.4%,180,-18.9%,12,-14.3%,"1,693",0.8%,
Business,ACCT,642,-4.5%,10,-23.1%,45,4.7%,30,-6.3%,3,200.0%,14,-12.5%,3,0.0%,747,-4.2%,
Admin,AGBU,4,-42.9%,,,1,0.0%,,,,,,,,,5,-37.5%,
,BUAD,"1,359",-5.6%,45,60.7%,166,59.6%,52,2.0%,5,-28.6%,30,20.0%,7,-12.5%,"1,664",0.1%,
,BUAG,11,0.0%,,,0,-100.0%,,,,,,,,,11,-8.3%,
,EMBA,25,100.0%,1,100.0%,10,100.0%,2,100.0%,,,,,1,100.0%,39,100.0%,
,FINC,618,3.7%,10,-28.6%,38,5.6%,25,13.6%,4,100.0%,17,-10.5%,1,-83.3%,713,2.9%,
,INFO,140,11.1%,3,-40.0%,9,0.0%,6,20.0%,2,-33.3%,8,-38.5%,1,0.0%,169,4.3%,
,MGMT,347,1.5%,14,0.0%,32,-8.6%,18,0.0%,1,-50.0%,10,-23.1%,3,50.0%,425,-0.2%,
,MISY,44,29.4%,2,0.0%,2,100.0%,4,0.0%,,,77,20.3%,,,129,22.9%,
,MKTG,522,-1.7%,6,-45.5%,32,-15.8%,15,36.4%,2,-33.3%,15,-6.3%,2,-33.3%,594,-3.1%,
,MLER,48,-14.3%,0,-100.0%,4,-20.0%,,,,,1,0.0%,5,150.0%,58,-12.1%,
,Subtotal,"3,760",-1.4%,91,2.2%,339,24.2%,152,6.3%,17,6.3%,172,3.0%,23,-8.0%,"4,554",0.6%,
Education,CPSY,21,-16.0%,4,-20.0%,6,50.0%,2,100.0%,,,2,-33.3%,0,-100.0%,35,-7.9%,
,EDAD,202,-7.8%,32,-13.5%,47,-19.0%,,,2,100.0%,6,-25.0%,4,-20.0%,293,-10.7%,
,EDCI,261,32.5%,46,-6.1%,37,32.1%,5,0.0%,1,0.0%,30,11.1%,6,50.0%,386,24.1%,
,EDHL,196,4.8%,11,-8.3%,24,14.3%,7,0.0%,1,100.0%,,,,,239,5.3%,
,EDIS,655,-14.8%,19,72.7%,54,-36.5%,11,57.1%,4,100.0%,1,-66.7%,,,744,-15.2%,
,EDKI,554,-23.5%,26,-3.7%,65,-4.4%,15,-6.3%,1,-80.0%,0,-100.0%,1,-50.0%,662,-21.7%,
,EDSM,205,100.0%,13,100.0%,24,100.0%,1,100.0%,1,100.0%,2,100.0%,1,100.0%,247,100.0%,
,EDTC,17,-32.0%,1,0.0%,2,-33.3%,1,100.0%,,,4,-20.0%,,,25,-26.5%,
,EHRD,96,4.3%,20,11.1%,33,26.9%,2,-33.3%,,,22,22.2%,3,-25.0%,176,9.3%,
,EPSY,98,-13.3%,7,0.0%,24,-22.6%,0,-100.0%,1,0.0%,28,12.0%,1,100.0%,159,-11.2%,
,HEED,15,-34.8%,8,33.3%,1,0.0%,1,100.0%,,,4,100.0%,1,0.0%,30,-9.1%,
,HLTH,136,22.5%,7,133.3%,14,40.0%,3,100.0%,,,1,100.0%,1,-50.0%,162,28.6%,
,INST,970,0.3%,14,16.7%,120,41.2%,9,125.0%,3,-57.1%,3,200.0%,1,-66.7%,"1,120",3.8%,
,ISNC,281,17.1%,14,55.6%,45,21.6%,7,-22.2%,2,100.0%,3,200.0%,1,0.0%,353,18.5%,
,KINE,299,-15.3%,5,66.7%,22,-35.3%,8,14.3%,2,100.0%,12,-33.3%,4,0.0%,352,-16.2%,
,PHED,4,0.0%,,,1,-66.7%,,,,,2,0.0%,,,7,-22.2%,
,SPMT,113,318.5%,2,0.0%,14,1300.0%,,,,,,,,,129,330.0%,
,SPSY,26,18.2%,6,0.0%,10,-9.1%,3,0.0%,,,1,0.0%,0,-100.0%,46,4.5%,
,TECR,22,37.5%,1,100.0%,3,200.0%,2,100.0%,,,,,1,100.0%,29,61.1%,
,Subtotal,"4,171",1.4%,236,13.5%,546,7.7%,77,20.3%,18,-5.3%,121,2.5%,25,-10.7%,"5,194",2.7%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,
