Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,088",1.4%,515,-14.2%,441,-19.5%,,,"6,044",-1.9%,
Gender,Female,"2,411",3.5%,241,-18.9%,188,-19.0%,,,"2,840",-0.6%,
,Male,"2,677",-0.4%,274,-9.6%,253,-19.9%,,,"3,204",-3.1%,
Ethnicity,White,"4,250",-0.7%,377,-10.2%,203,-20.1%,,,"4,830",-2.5%,
,Black,144,11.6%,12,0.0%,9,28.6%,,,165,11.5%,
,Hispanic,473,14.8%,35,-5.4%,15,-11.8%,,,523,12.2%,
,Asian,110,32.5%,4,0.0%,8,-27.3%,,,122,24.5%,
,American Indian,41,0.0%,5,400.0%,1,100.0%,,,47,11.9%,
,International,47,9.3%,74,-35.1%,200,-21.9%,,,321,-22.3%,
,Unknown/Other,23,-23.3%,8,-33.3%,5,66.7%,,,36,-20.0%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,"2,063",0.6%,0,-100.0%,,,,,"2,063",0.6%,
,22-25,"2,726",1.5%,240,-11.8%,13,-27.8%,,,"2,979",0.1%,
,26-30,227,18.2%,184,-14.4%,164,-21.9%,,,575,-6.8%,
,31-39,47,-6.0%,69,-21.6%,186,-15.5%,,,302,-15.6%,
,40+,24,-35.1%,22,-8.3%,78,-22.0%,,,124,-23.0%,
Enrollment,1st Time in College,8,14.3%,,,,,,,8,14.3%,
Status,1st Time PB,5,-37.5%,24,33.3%,,,,,29,11.5%,
,1st Time Graduate,,,51,-5.6%,12,-25.0%,,,63,-10.0%,
,1st Time Transfer,228,46.2%,,,,,,,228,46.2%,
,Readmitted,61,3.4%,1,100.0%,,,,,62,5.1%,
,Continuing,"4,786",0.0%,439,-16.9%,429,-19.4%,,,"5,654",-3.3%,
Tuition,Resident Tuition,"4,793",0.3%,339,-7.9%,148,-22.1%,,,"5,280",-1.0%,
Status,Non-Resident Tuition,98,-11.7%,34,-22.7%,62,-6.1%,,,194,-12.2%,
,Tuition Exemption/Waiver,197,55.1%,142,-24.5%,231,-20.9%,,,570,-6.1%,
Residency,Texas Resident,"4,854",1.4%,347,-6.0%,158,-17.7%,,,"5,359",0.2%,
Status,"Non-TX, US Resident",184,1.7%,94,-19.0%,82,-15.5%,,,360,-8.6%,
,"Non-TX, Non-US Resident",50,8.7%,74,-35.7%,201,-22.4%,,,325,-22.6%,
SCH,< 6 SCH,106,-5.4%,113,-15.0%,77,-32.5%,,,296,-17.5%,
Categories,6-8 SCH,232,0.0%,51,34.2%,21,-12.5%,,,304,3.4%,
,9-11 SCH,373,12.3%,322,-16.6%,332,-16.8%,,,"1,027",-8.1%,
,12-14 SCH,"2,294",-16.2%,25,-35.9%,10,0.0%,,,"2,329",-16.4%,
,15-17 SCH,"1,900",29.5%,4,0.0%,1,0.0%,,,"1,905",29.4%,
,>17 SCH,183,33.6%,,,,,,,183,33.6%,
Ft/Pt:,Less Than Half Time,95,6.7%,84,-18.4%,65,-33.7%,,,244,-15.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","209
373","-1.9%
12.3%",71,18.3%,31,-16.2%,,,"311
373","0.3%
12.3%",
,Full-Time,"4,411",0.7%,360,-17.6%,345,-16.5%,,,"5,116",-2.2%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
