Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Germany,3,10,7,,20,
Ghana,,3,1,,4,
Greece,,2,7,,9,
Guatemala,8,1,1,,10,
Honduras,7,3,1,,11,
Hong Kong,10,6,4,,20,
Iceland,,,1,,1,
India,79,382,230,,691,
Indonesia,40,10,8,,58,
Iran,6,6,22,,34,
Iraq,1,3,1,,5,
Ireland,,1,1,,2,
Israel,,1,,,1,
Italy,2,2,4,,8,
Jamaica,2,1,6,,9,
Japan,12,10,18,,40,
Jordan,2,2,8,,12,
Kazakhstan,8,6,1,,15,
Kenya,1,,3,,4,
"Korea, Republic of",28,107,359,,494,
Kuwait,,,2,,2,
Lebanon,1,3,8,,12,
Lithuania,2,,,,2,
Macedonia,,3,,,3,
Malawi (Central Africa),,,1,,1,
Malaysia,10,2,3,,15,
Mali,,1,2,,3,
Mauritius,,1,1,,2,
Mexico,30,33,48,,111,
Mongolia,1,1,,,2,
Morocco,4,,2,,6,
Nepal,,1,2,,3,
Netherlands,,1,1,,2,
New Zealand,1,,,,1,
Nicaragua,5,,,,5,
Niger,,,1,,1,
Nigeria,20,27,7,,54,
Norway,3,2,1,,6,
Oman,,1,3,,4,
Other Foreign or US,,1,,,1,
Pakistan,13,10,7,,30,
Panama,4,4,,,8,
Paraguay,,1,1,,2,
Peru,4,8,14,,26,
Philippines,,2,7,,9,
Poland,,1,2,,3,
Page 73,,,,,,
