Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2006,,,,,,,,,,,,
Enrollment Profile – Spring 2006 Official Certified 12th Class Day Data,,,,,,,,,,,,
Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"13,311",-1.9%,"1,124",1.3%,614,2.0%,334,-0.3%,"15,383",-1.5%,
,Black,486,10.2%,73,-5.2%,94,5.6%,1,-50.0%,654,7.4%,
,Hispanic,"1,818",10.2%,144,-4.0%,122,15.1%,22,0.0%,"2,106",9.3%,
,Asian,545,11.7%,52,0.0%,36,20.0%,12,20.0%,645,11.2%,
,American Indian,74,-6.3%,8,100.0%,6,100.0%,1,100.0%,89,3.5%,
,International,151,-1.3%,314,-18.4%,433,-1.4%,,,898,-8.1%,
,Unknown/Other,43,-32.8%,21,-36.4%,15,15.4%,5,25.0%,84,-26.3%,
,Subtotal,"16,428",-0.1%,"1,736",-4.1%,"1,320",3.0%,375,0.5%,"19,859",-0.2%,
Male,White,"13,604",-0.1%,"1,372",2.5%,682,0.6%,118,-4.1%,"15,776",0.1%,
,Black,411,14.2%,68,33.3%,42,7.7%,3,50.0%,524,15.9%,
,Hispanic,"1,895",8.8%,158,6.8%,98,16.7%,8,14.3%,"2,159",9.0%,
,Asian,662,9.8%,73,0.0%,46,43.8%,4,33.3%,785,10.4%,
,American Indian,99,2.1%,4,33.3%,5,-16.7%,0,-100.0%,108,0.9%,
,International,335,-7.5%,780,-6.3%,"1,136",-2.5%,,,"2,251",-4.6%,
,Unknown/Other,59,-39.2%,39,18.2%,30,15.4%,1,0.0%,129,-17.8%,
,Subtotal,"17,065",1.1%,"2,494",0.6%,"2,039",0.4%,134,-2.2%,"21,732",1.0%,
Grand Total,,"33,493",0.5%,"4,230",-1.4%,"3,359",1.4%,509,-0.2%,"41,591",0.4%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
