Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"33,493",0.5%,"4,230",-1.4%,"3,359",1.4%,509,-0.2%,"41,591",0.4%,
Gender,Female,"16,428",-0.1%,"1,736",-4.1%,"1,320",3.0%,375,0.5%,"19,859",-0.2%,
,Male,"17,065",1.1%,"2,494",0.6%,"2,039",0.4%,134,-2.2%,"21,732",1.0%,
Ethnicity,White,"26,915",-1.0%,"2,496",2.0%,"1,296",1.3%,452,-1.3%,"31,159",-0.7%,
,Black,897,12.0%,141,10.2%,136,6.3%,4,0.0%,"1,178",11.0%,
,Hispanic,"3,713",9.5%,302,1.3%,220,15.8%,30,3.4%,"4,265",9.2%,
,Asian,"1,207",10.6%,125,0.0%,82,32.3%,16,23.1%,"1,430",10.8%,
,American Indian,173,-1.7%,12,71.4%,11,22.2%,1,0.0%,197,2.1%,
,International,486,-5.6%,"1,094",-10.1%,"1,569",-2.2%,,,"3,149",-5.6%,
,Unknown/Other,102,-36.6%,60,-9.1%,45,15.4%,6,20.0%,213,-21.4%,
TAMU Age,<18,3,0.0%,,,,,,,3,0.0%,
Categories,18-21,"18,733",1.5%,13,225.0%,1,100.0%,2,0.0%,"18,749",1.6%,
,22-25,"13,648",-0.9%,"2,034",4.8%,175,-3.3%,244,-0.8%,"16,101",-0.2%,
,26-30,771,2.1%,"1,342",-6.7%,"1,233",4.1%,202,6.3%,"3,548",-0.6%,
,31-39,227,1.3%,589,-7.4%,"1,341",1.7%,52,-14.8%,"2,209",-1.3%,
,40+,111,-2.6%,252,-6.3%,609,-3.0%,9,-18.2%,981,-4.0%,
Enrollment,1st Time in College,95,4.4%,,,,,,,95,4.4%,
Status,1st Time PB,7,-63.2%,119,2.6%,,,,,126,-6.7%,
,1st Time Graduate,,,362,18.7%,91,15.2%,,,453,18.0%,
,1st Time Transfer,778,4.6%,,,,,,,778,4.6%,
,Readmitted,222,-20.7%,10,25.0%,3,-76.9%,,,235,-21.9%,
,Continuing,"32,391",0.6%,"3,739",-3.1%,"3,265",1.4%,509,-0.2%,"39,904",0.3%,
Tuition,Resident Tuition,"31,486",-0.6%,"2,445",-0.3%,"1,215",1.4%,461,-3.2%,"35,607",-0.5%,
Status,Non-Resident Tuition,803,-7.6%,382,-2.8%,428,12.3%,4,-20.0%,"1,617",-1.9%,
,Tuition Exemption/Waiver,"1,204",54.6%,"1,403",-2.8%,"1,716",-1.0%,44,51.7%,"4,367",9.6%,
Residency,Texas Resident,"31,891",0.6%,"2,499",1.5%,"1,264",4.4%,469,-1.5%,"36,123",0.7%,
Status,"Non-TX, US Resident","1,094",2.5%,629,5.0%,502,4.6%,40,17.6%,"2,265",3.9%,
,"Non-TX, Non-US Resident",508,-6.4%,"1,102",-10.3%,"1,593",-1.7%,,,"3,203",-5.6%,
SCH,< 6 SCH,901,-1.1%,643,-3.0%,745,0.5%,,,"2,289",-1.1%,
Categories,6-8 SCH,"1,413",5.1%,433,-4.0%,177,0.0%,,,"2,023",2.5%,
,9-11 SCH,"1,982",-1.4%,"2,198",-1.7%,"2,348",4.3%,,,"6,528",0.5%,
,12-14 SCH,"15,508",-17.4%,735,1.1%,73,-42.1%,0,-100.0%,"16,316",-16.8%,
,15-17 SCH,"12,662",32.4%,140,8.5%,10,-33.3%,,,"12,812",31.9%,
,>17 SCH,"1,027",43.2%,81,-2.4%,6,500.0%,509,0.0%,"1,623",23.9%,
Ft/Pt:,Less Than Half Time,775,0.9%,518,-3.4%,607,1.0%,,,"1,900",-0.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","1,095
1,867","6.9%
-3.6%",523,-5.6%,297,3.5%,,,"1,915
1,867","2.7%
-3.6%",
,Full-Time,"29,756",0.6%,"3,189",-0.3%,"2,455",1.3%,509,-0.2%,"35,909",0.5%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
