Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Portugal,2,3,1,,6,
Qatar,2,1,,,3,
Romania,,3,10,,13,
Russia,2,8,15,,25,
Rwanda,,2,1,,3,
San Marino,,,1,,1,
Saudi Arabia,4,8,9,,21,
Serbia,1,6,6,,13,
Sierra Leone,1,,,,1,
Singapore,3,1,1,,5,
Slovakia,1,,,,1,
Slovenia,1,,,,1,
South Africa,,1,1,,2,
Spain,3,1,,,4,
Sri Lanka (Ceylon),1,2,8,,11,
St. Lucia,1,,,,1,
Sudan,,,1,,1,
Sweden,4,,2,,6,
Switzerland,1,1,1,,3,
Syria,,1,1,,2,
Taiwan,8,40,83,,131,
Tanzania,,,1,,1,
Thailand,3,12,21,,36,
Togo,,1,,,1,
Trinidad & Tobago,2,2,1,,5,
Tunisia,2,1,,,3,
Turkey,1,25,61,,87,
Turkmenistan,1,,,,1,
Uganda,,1,1,,2,
Ukraine,,4,9,,13,
United Arab Emirates,4,4,3,,11,
United Kingdom,9,2,3,,14,
United States,"32,986","3,111","1,764",509,"38,370",
Uruguay,4,2,3,,9,
Uzbekistan,,1,1,,2,
Venezuela,6,12,17,,35,
Viet Nam Socialist Republic,8,3,7,,18,
Zaire,,1,,,1,
Zambia,,,1,,1,
Zimbabwe  (Rhodesia),,,5,,5,
