Spring 2006,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,148",3.2%,"1,033",-2.5%,894,1.2%,,,"8,075",2.2%,
Gender,Female,"1,115",0.3%,188,0.0%,134,0.0%,,,"1,437",0.2%,
,Male,"5,033",3.9%,845,-3.1%,760,1.5%,,,"6,638",2.7%,
Ethnicity,White,"4,670",2.7%,377,5.0%,132,13.8%,,,"5,179",3.1%,
,Black,175,26.8%,32,14.3%,18,63.6%,,,225,27.1%,
,Hispanic,708,12.9%,48,2.1%,19,18.8%,,,775,12.3%,
,Asian,273,-2.8%,42,10.5%,22,22.2%,,,337,0.0%,
,American Indian,29,26.1%,1,0.0%,1,0.0%,,,31,24.0%,
,International,270,-10.3%,524,-9.0%,698,-2.8%,,,"1,492",-6.5%,
,Unknown/Other,23,-39.5%,9,-18.2%,4,33.3%,,,36,-30.8%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,"3,413",10.4%,3,100.0%,,,,,"3,416",10.5%,
,22-25,"2,487",-4.9%,512,-5.9%,45,-21.1%,,,"3,044",-5.4%,
,26-30,194,-0.5%,375,-1.3%,419,3.5%,,,988,0.8%,
,31-39,39,-7.1%,115,4.5%,369,0.8%,,,523,1.0%,
,40+,14,27.3%,28,7.7%,61,10.9%,,,103,12.0%,
Enrollment,1st Time in College,21,16.7%,,,,,,,21,16.7%,
Status,1st Time PB,1,-66.7%,11,-8.3%,,,,,12,-20.0%,
,1st Time Graduate,,,102,32.5%,34,6.3%,,,136,24.8%,
,1st Time Transfer,119,13.3%,,,,,,,119,13.3%,
,Readmitted,29,-29.3%,4,33.3%,0,-100.0%,,,33,-28.3%,
,Continuing,"5,978",3.3%,916,-5.4%,860,1.3%,,,"7,754",1.9%,
Tuition,Resident Tuition,"5,516",2.7%,380,1.9%,129,24.0%,,,"6,025",3.0%,
Status,Non-Resident Tuition,279,-13.1%,175,2.3%,148,5.7%,,,602,-4.7%,
,Tuition Exemption/Waiver,353,34.7%,478,-7.4%,617,-3.4%,,,"1,448",2.2%,
Residency,Texas Resident,"5,595",4.2%,390,3.7%,126,26.0%,,,"6,111",4.5%,
Status,"Non-TX, US Resident",274,-0.4%,115,11.7%,65,10.2%,,,454,3.9%,
,"Non-TX, Non-US Resident",279,-10.3%,528,-9.1%,703,-2.9%,,,"1,510",-6.6%,
SCH,< 6 SCH,145,-7.1%,133,-4.3%,118,7.3%,,,396,-2.2%,
Categories,6-8 SCH,170,14.9%,81,19.1%,14,16.7%,,,265,16.2%,
,9-11 SCH,301,-10.9%,757,-0.3%,731,0.0%,,,"1,789",-2.1%,
,12-14 SCH,"2,950",-14.8%,60,-32.6%,27,0.0%,,,"3,037",-15.2%,
,15-17 SCH,"2,388",37.6%,2,-60.0%,1,-66.7%,,,"2,391",37.1%,
,>17 SCH,194,70.2%,,,3,100.0%,,,197,72.8%,
Ft/Pt:,Less Than Half Time,52,-23.5%,113,2.7%,97,14.1%,,,262,-0.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","165
296","13.8%
-12.2%",97,9.0%,25,31.6%,,,"287
296","13.4%
-12.2%",
,Full-Time,"5,635",4.2%,823,-4.4%,772,-0.9%,,,"7,230",2.6%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,
