Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,213",-6.2%,120,-8.4%,234,-11.0%,,,"2,567",-6.8%,
Gender,Female,"1,303",-7.0%,70,1.4%,121,4.3%,,,"1,494",-5.8%,
,Male,910,-5.0%,50,-19.4%,113,-23.1%,,,"1,073",-8.1%,
Ethnicity,White,"1,763",-7.8%,75,2.7%,130,-15.0%,,,"1,968",-8.0%,
,Black,78,4.0%,9,50.0%,10,42.9%,,,97,10.2%,
,Hispanic,270,-2.9%,17,-32.0%,26,30.0%,,,313,-3.1%,
,Asian,51,-16.4%,5,-28.6%,7,75.0%,,,63,-12.5%,
,American Indian,12,50.0%,,,3,0.0%,,,15,36.4%,
,International,12,20.0%,13,-23.5%,51,-26.1%,,,76,-20.8%,
,Unknown/Other,27,80.0%,1,-66.7%,7,0.0%,,,35,40.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,091",-0.1%,0,-100.0%,0,-100.0%,,,"1,091",-0.3%,
,22-25,"1,030",-11.7%,65,-5.8%,13,-43.5%,,,"1,108",-12.0%,
,26-30,56,-8.2%,37,12.1%,112,-6.7%,,,205,-4.2%,
,31-39,23,4.5%,12,-25.0%,83,-2.4%,,,118,-4.1%,
,40+,13,-23.5%,6,-50.0%,26,-23.5%,,,45,-28.6%,
Enrollment,1st Time in College,6,100.0%,,,,,,,6,100.0%,
Status,1st Time PB,1,0.0%,1,0.0%,,,,,2,0.0%,
,1st Time Graduate,,,1,-93.3%,0,-100.0%,,,1,-95.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,29,16.0%,,,,,,,29,16.0%,
,Readmitted,24,0.0%,,,1,0.0%,,,25,0.0%,
,Continuing,"2,153",-6.6%,118,2.6%,233,-7.9%,,,"2,504",-6.4%,
Tuition,Resident Tuition,"2,102",-5.5%,61,-4.7%,95,-1.0%,,,"2,258",-5.3%,
Status,Non-Resident Tuition,53,-7.0%,16,-5.9%,20,-45.9%,,,89,-19.8%,
,Tuition  Exemption/Waiver,58,-24.7%,43,-14.0%,119,-8.5%,,,220,-14.4%,
Residency,Texas Resident,"2,118",-6.2%,63,-8.7%,100,-8.3%,,,"2,281",-6.4%,
Status,"Non-TX, US Resident",82,-5.7%,44,-2.2%,82,-3.5%,,,208,-4.1%,
,"Non-TX, Non-US Resident",13,0.0%,13,-23.5%,52,-24.6%,,,78,-21.2%,
SCH,< 6 SCH,600,-1.0%,57,-8.1%,137,-8.7%,,,794,-2.9%,
Categories,6-8 SCH,924,-6.7%,60,-4.8%,97,-11.0%,,,"1,081",-7.0%,
,9-11 SCH,339,-16.1%,3,-50.0%,0,-100.0%,,,342,-17.2%,
,12-14 SCH,321,-0.6%,,,0,-100.0%,,,321,-0.9%,
,15-17 SCH,22,-21.4%,,,,,,,22,-21.4%,
,>17 SCH,7,-12.5%,,,,,,,7,-12.5%,
Ft/Pt:,Less Than Half Time,85,3.7%,19,-24.0%,37,-26.0%,,,141,-10.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","654
4","-5.5%
300.0%","8
0","-33.3%
-100.0%","18
1","-37.9%
100.0%",,,"680
5","-7.2%
150.0%",
,Full-Time,"1,470",-7.2%,93,0.0%,178,-3.3%,,,"1,741",-6.4%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
