Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,718",-9.5%,390,-5.8%,490,-3.7%,,,"2,598",-7.9%,
Gender,Female,"1,215",-13.8%,264,-12.9%,330,-4.1%,,,"1,809",-12.1%,
,Male,503,2.9%,126,13.5%,160,-3.0%,,,789,3.1%,
Ethnicity,White,"1,424",-9.8%,293,-5.8%,287,-3.0%,,,"2,004",-8.3%,
,Black,73,-2.7%,24,-4.0%,50,-7.4%,,,147,-4.5%,
,Hispanic,166,-15.7%,42,5.0%,81,-10.0%,,,289,-11.6%,
,Asian,34,0.0%,6,20.0%,13,18.2%,,,53,6.0%,
,American Indian,8,33.3%,3,100.0%,3,50.0%,,,14,75.0%,
,International,5,0.0%,21,-22.2%,49,2.1%,,,75,-6.3%,
,Unknown/Other,8,100.0%,1,-83.3%,7,-12.5%,,,16,-11.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,683,-13.4%,5,66.7%,,,,,688,-13.1%,
,22-25,951,-6.1%,195,4.8%,19,11.8%,,,"1,165",-4.2%,
,26-30,48,-17.2%,86,1.2%,89,2.3%,,,223,-3.0%,
,31-39,18,-28.0%,64,-9.9%,175,-12.9%,,,257,-13.5%,
,40+,18,28.6%,40,-42.0%,207,1.5%,,,265,-7.7%,
Enrollment,1st Time in College,9,0.0%,,,,,,,9,0.0%,
Status,1st Time PB,1,100.0%,10,42.9%,,,,,11,57.1%,
,1st Time Graduate,,,77,-3.8%,24,166.7%,,,101,13.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,25,-49.0%,,,,,,,25,-49.0%,
,Readmitted,11,-26.7%,1,-75.0%,2,0.0%,,,14,-33.3%,
,Continuing,"1,672",-8.4%,302,-6.5%,464,-6.8%,,,"2,438",-7.9%,
Tuition,Resident Tuition,"1,672",-9.7%,337,-4.8%,387,-2.0%,,,"2,396",-7.8%,
Status,Non-Resident Tuition,18,-5.3%,11,-59.3%,18,-41.9%,,,47,-39.0%,
,Tuition  Exemption/Waiver,28,-3.4%,42,27.3%,85,2.4%,,,155,6.9%,
Residency,Texas Resident,"1,683",-9.6%,343,-5.5%,401,-4.5%,,,"2,427",-8.2%,
Status,"Non-TX, US Resident",30,-9.1%,26,8.3%,40,-2.4%,,,96,-2.0%,
,"Non-TX, Non-US Resident",5,25.0%,21,-22.2%,49,2.1%,,,75,-5.1%,
SCH,< 6 SCH,543,2.8%,104,16.9%,261,-1.1%,,,908,3.1%,
Categories,6-8 SCH,586,-6.2%,130,-15.0%,168,31.3%,,,884,-2.4%,
,9-11 SCH,257,-26.4%,119,-4.8%,51,-37.8%,,,427,-23.2%,
,12-14 SCH,292,-16.1%,33,-19.5%,8,-75.8%,,,333,-21.1%,
,15-17 SCH,36,-16.3%,4,-33.3%,2,0.0%,,,42,-17.6%,
,>17 SCH,4,-33.3%,,,,,,,4,-33.3%,
Ft/Pt:,Less Than Half Time,77,67.4%,4,100.0%,176,3.5%,,,257,17.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","568
5","-1.9%
150.0%",7,-61.1%,34,-5.6%,,,"609
5","-3.8%
150.0%",
,Full-Time,"1,068",-16.0%,379,-3.8%,280,-7.6%,,,"1,727",-12.3%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
