Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
Summer 2007,,,,,,,,,
Enrollment Profile – Summer 2007 Official Combined Summer Data – Not Certified,,,,,,,,,
"Summer 2007
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                    Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"2,381",-6.0%,4,-55.6%,25,-21.9%,"2,410",-6.3%,
,,,56,9.8%,172,-10.4%,228,-6.2%,
,5,-16.7%,30,-30.2%,197,2.6%,232,-3.7%,
,"2,386",-6.0%,90,-12.6%,394,-5.3%,"2,870",-6.1%,
,577,-11.1%,1,-50.0%,7,-30.0%,585,-11.5%,
,,,9,-52.6%,20,-37.5%,29,-43.1%,
,1,0.0%,37,85.0%,72,4.3%,110,22.2%,
,578,-11.1%,47,14.6%,99,-10.8%,724,-9.7%,
,"1,679",-7.1%,0,-100.0%,7,-30.0%,"1,686",-7.5%,
,,,17,13.3%,44,-10.2%,61,-4.7%,
,3,0.0%,43,43.3%,86,4.9%,132,14.8%,
,"1,682",-7.1%,60,20.0%,137,-2.8%,"1,879",-6.1%,
,"2,396",-7.7%,3,-82.4%,28,-9.7%,"2,427",-8.2%,
,,,27,-15.6%,69,4.5%,96,-2.0%,
,0,-100.0%,17,-39.3%,58,20.8%,75,-5.1%,
,"2,396",-7.8%,47,-39.0%,155,6.9%,"2,598",-7.9%,
,"2,073",1.6%,5,-64.3%,29,-3.3%,"2,107",1.1%,
,,,75,1.4%,177,27.3%,252,18.3%,
,12,-7.7%,336,13.1%,745,4.3%,"1,093",6.7%,
,"2,085",1.5%,416,8.1%,951,7.7%,"3,452",3.9%,
,62,93.8%,1,100.0%,6,200.0%,69,102.9%,
,,,3,50.0%,8,100.0%,11,83.3%,
,,,0,-100.0%,2,100.0%,2,0.0%,
,62,93.8%,4,33.3%,16,128.6%,82,95.2%,
,196,-5.3%,2,100.0%,3,-40.0%,201,-5.6%,
,,,14,0.0%,41,5.1%,55,3.8%,
,0,-100.0%,17,0.0%,69,27.8%,86,19.4%,
,196,-5.8%,33,3.1%,113,15.3%,342,1.2%,
,"2,258",-5.2%,1,-94.4%,22,-40.5%,"2,281",-6.4%,
,,,60,-3.2%,148,-4.5%,208,-4.1%,
,0,-100.0%,28,-9.7%,50,-23.1%,78,-21.2%,
,"2,258",-5.3%,89,-19.8%,220,-14.4%,"2,567",-6.8%,
,663,-6.6%,4,-33.3%,15,-21.1%,682,-7.2%,
,,,20,-31.0%,138,-12.7%,158,-15.5%,
,3,-25.0%,22,29.4%,264,10.0%,289,10.7%,
,666,-6.7%,46,-11.5%,417,0.0%,"1,129",-4.6%,
,633,-6.6%,3,50.0%,8,-27.3%,644,-6.8%,
,,,12,71.4%,37,-2.6%,49,8.9%,
,2,100.0%,3,-25.0%,32,18.5%,37,15.6%,
,635,-6.5%,18,38.5%,77,1.3%,730,-4.9%,
,650,3.2%,1,-80.0%,1,-90.9%,652,0.9%,
,,,13,44.4%,17,-19.0%,30,0.0%,
,0,-100.0%,1,-50.0%,3,50.0%,4,-33.3%,
,650,2.8%,15,-6.3%,21,-38.2%,686,0.6%,
,92,-8.9%,1,100.0%,5,66.7%,98,-5.8%,
,,,7,-12.5%,26,-7.1%,33,-8.3%,
,1,100.0%,19,-9.5%,113,13.0%,133,9.9%,
,93,-7.9%,27,-6.9%,144,9.9%,264,1.1%,
,"13,660",-4.9%,26,-67.1%,156,-22.4%,"13,842",-5.5%,
,,,313,-2.8%,897,-2.6%,"1,210",-2.7%,
,27,-27.0%,553,8.2%,"1,691",6.1%,"2,271",6.0%,
,"13,687",-5.0%,892,-2.2%,"2,744",1.0%,"17,323",-3.9%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,
