Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,6,0.0%,110,0.0%,148,2.1%,,,264,1.1%,
Gender,Female,2,-33.3%,64,10.3%,78,9.9%,,,144,9.1%,
,Male,4,33.3%,46,-11.5%,70,-5.4%,,,120,-7.0%,
Ethnicity,White,1,100.0%,55,-9.8%,49,-7.5%,,,105,-7.9%,
,Black,,,3,50.0%,4,300.0%,,,7,133.3%,
,Hispanic,,,5,-37.5%,4,33.3%,,,9,-18.2%,
,Asian,,,3,-50.0%,5,66.7%,,,8,-11.1%,
,American Indian,,,,,,,,,,,
,International,5,-16.7%,44,33.3%,84,2.4%,,,133,9.9%,
,Unknown/Other,,,,,2,-33.3%,,,2,-33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,3,100.0%,0,-100.0%,,,,,3,200.0%,
,22-25,3,-50.0%,54,5.9%,12,0.0%,,,69,0.0%,
,26-30,,,40,8.1%,74,2.8%,,,114,4.6%,
,31-39,,,13,-27.8%,51,2.0%,,,64,-5.9%,
,40+,,,3,0.0%,11,0.0%,,,14,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,15,66.7%,,,,,15,66.7%,
,1st Time Graduate,,,3,-40.0%,0,-100.0%,,,3,-50.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,6,0.0%,92,-4.2%,148,2.8%,,,246,0.0%,
Tuition,Resident Tuition,1,100.0%,48,-20.0%,44,7.3%,,,93,-7.9%,
Status,Non-Resident Tuition,5,-16.7%,10,-9.1%,12,0.0%,,,27,-6.9%,
,Tuition  Exemption/Waiver,,,52,33.3%,92,0.0%,,,144,9.9%,
Residency,Texas Resident,1,100.0%,51,-16.4%,46,7.0%,,,98,-5.8%,
Status,"Non-TX, US Resident",,,15,-6.3%,18,-10.0%,,,33,-8.3%,
,"Non-TX, Non-US Resident",5,-16.7%,44,33.3%,84,2.4%,,,133,9.9%,
SCH,< 6 SCH,6,0.0%,46,4.5%,17,-10.5%,,,69,0.0%,
Categories,6-8 SCH,,,54,8.0%,130,6.6%,,,184,7.0%,
,9-11 SCH,,,7,-12.5%,1,-75.0%,,,8,-33.3%,
,12-14 SCH,,,3,-62.5%,,,,,3,-62.5%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,0,-100.0%,10,-16.7%,11,-31.3%,,,21,-27.6%,
"TAMU
Status","Half-Time
Three-Quarter Time",1,100.0%,21,5.0%,4,300.0%,,,26,23.8%,
,Full-Time,5,0.0%,79,1.3%,133,3.9%,,,217,2.8%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
