Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"11,924",-6.1%,"2,712",4.5%,"2,538",-1.4%,149,-5.7%,"17,323",-3.9%,
Gender,Female,"5,839",-7.2%,"1,166",0.8%,"1,017",1.8%,106,-10.9%,"8,128",-5.2%,
,Male,"6,085",-5.0%,"1,546",7.4%,"1,521",-3.4%,43,10.3%,"9,195",-2.8%,
Ethnicity,White,"9,246",-8.0%,"1,496",-1.5%,946,-3.5%,134,-2.2%,"11,822",-6.8%,
,Black,448,2.3%,92,8.2%,97,6.6%,0,-100.0%,637,3.4%,
,Hispanic,"1,345",0.2%,187,-1.6%,185,6.3%,6,-53.8%,"1,723",0.2%,
,Asian,460,-3.2%,74,-12.9%,63,8.6%,7,133.3%,604,-2.7%,
,American Indian,59,-9.2%,14,100.0%,11,10.0%,,,84,2.4%,
,International,225,0.4%,830,22.2%,"1,204",-2.0%,,,"2,259",6.0%,
,Unknown/Other,141,27.0%,19,-38.7%,32,-3.0%,2,-33.3%,194,9.0%,
TAMU Age,<18,6,0.0%,,,,,,,6,0.0%,
Categories,18-21,"6,234",-2.2%,18,-25.0%,0,-100.0%,0,-100.0%,"6,252",-2.4%,
,22-25,"5,204",-9.9%,"1,541",11.5%,176,-8.8%,57,-14.9%,"6,978",-5.9%,
,26-30,321,-16.6%,746,-0.9%,"1,059",0.3%,72,14.3%,"2,198",-2.6%,
,31-39,108,-3.6%,296,-2.0%,937,-0.4%,18,5.9%,"1,359",-0.9%,
,40+,51,2.0%,111,-17.8%,366,-4.4%,2,-60.0%,530,-7.5%,
Enrollment,1st Time in College,362,42.5%,,,,,,,362,42.5%,
Status,1st Time PB,10,150.0%,74,54.2%,,,,,84,61.5%,
,1st Time Graduate,,,307,-2.5%,51,18.6%,,,358,0.0%,
,1st Time Professional,,,,,,,0,-100.0%,0,-100.0%,
,1st Time Transfer,164,-13.2%,,,,,,,164,-13.2%,
,Readmitted,94,-13.0%,4,-50.0%,4,-42.9%,,,102,-17.1%,
,Continuing,"11,294",-7.0%,"2,327",4.6%,"2,483",-1.6%,149,6.4%,"16,253",-4.6%,
Tuition,Resident Tuition,"11,185",-6.1%,"1,477",-0.2%,889,1.9%,136,-6.2%,"13,687",-5.0%,
Status,Non-Resident Tuition,350,-2.5%,320,19.0%,221,-21.4%,1,-66.7%,892,-2.2%,
,Tuition  Exemption/Waiver,389,-11.2%,915,8.0%,"1,428",0.5%,12,20.0%,"2,744",1.0%,
Residency,Texas Resident,"11,251",-6.5%,"1,517",0.1%,935,-1.7%,139,-5.4%,"13,842",-5.5%,
Status,"Non-TX, US Resident",445,1.1%,360,-10.0%,395,0.8%,10,-9.1%,"1,210",-2.7%,
,"Non-TX, Non-US Resident",228,-1.3%,835,22.8%,"1,208",-1.9%,,,"2,271",6.0%,
SCH,< 6 SCH,"4,096",1.6%,"1,089",15.2%,732,-3.6%,13,18.2%,"5,930",3.2%,
Categories,6-8 SCH,"4,524",-7.7%,"1,243",-2.2%,"1,718",3.6%,86,-41.1%,"7,571",-5.1%,
,9-11 SCH,"1,958",-11.8%,246,1.2%,71,-38.3%,50,4900.0%,"2,325",-9.8%,
,12-14 SCH,"1,230",-9.4%,128,-2.3%,15,-61.5%,,,"1,373",-10.1%,
,15-17 SCH,99,-39.3%,6,0.0%,2,0.0%,,,107,-37.4%,
,>17 SCH,17,-43.3%,,,,,,,17,-43.3%,
Ft/Pt:,Less Than Half Time,964,7.3%,317,15.7%,405,-5.8%,1,0.0%,"1,687",5.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","3,954
43","0.1%
7.5%","386
1","18.0%
-87.5%","112
4","-6.7%
-20.0%",2,-77.8%,"4,454
48","1.1%
-9.4%",
,Full-Time,"6,963",-10.9%,"2,008",1.1%,"2,017",-0.1%,146,-1.4%,"11,134",-7.0%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
