Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,033",0.6%,744,22.6%,675,-2.7%,,,"3,452",3.9%,
Gender,Female,384,-0.3%,159,37.1%,108,2.9%,,,651,7.4%,
,Male,"1,649",0.8%,585,19.1%,567,-3.7%,,,"2,801",3.1%,
Ethnicity,White,"1,430",-2.1%,228,2.7%,105,10.5%,,,"1,763",-0.8%,
,Black,70,6.1%,25,31.6%,12,0.0%,,,107,10.3%,
,Hispanic,236,4.0%,32,60.0%,16,-5.9%,,,284,7.6%,
,Asian,106,10.4%,28,21.7%,16,23.1%,,,150,13.6%,
,American Indian,5,25.0%,2,100.0%,0,-100.0%,,,7,40.0%,
,International,141,-1.4%,425,32.4%,524,-5.6%,,,"1,090",7.0%,
,Unknown/Other,45,87.5%,4,100.0%,2,100.0%,,,51,88.9%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,"1,079",10.3%,1,-66.7%,,,,,"1,080",10.1%,
,22-25,853,-8.9%,448,42.2%,50,-5.7%,,,"1,351",3.6%,
,26-30,72,-14.3%,221,1.4%,317,-8.1%,,,610,-5.7%,
,31-39,21,31.3%,64,6.7%,273,6.6%,,,358,7.8%,
,40+,6,0.0%,10,-9.1%,35,-12.5%,,,51,-10.5%,
Enrollment,1st Time in College,44,238.5%,,,,,,,44,238.5%,
Status,1st Time PB,1,0.0%,5,-58.3%,,,,,6,-53.8%,
,1st Time Graduate,,,26,18.2%,9,0.0%,,,35,12.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,22,-4.3%,,,,,,,22,-4.3%,
,Readmitted,12,9.1%,0,-100.0%,0,-100.0%,,,12,-25.0%,
,Continuing,"1,954",-1.0%,713,24.9%,666,-2.3%,,,"3,333",3.3%,
Tuition,Resident Tuition,"1,761",-0.3%,232,13.7%,92,9.5%,,,"2,085",1.5%,
Status,Non-Resident Tuition,144,-7.1%,160,39.1%,112,-2.6%,,,416,8.1%,
,Tuition  Exemption/Waiver,128,28.0%,352,22.2%,471,-4.8%,,,951,7.7%,
Residency,Texas Resident,"1,766",-1.0%,240,14.3%,101,9.8%,,,"2,107",1.1%,
Status,"Non-TX, US Resident",125,37.4%,77,2.7%,50,6.4%,,,252,18.3%,
,"Non-TX, Non-US Resident",142,-3.4%,427,32.6%,524,-5.6%,,,"1,093",6.7%,
SCH,< 6 SCH,869,11.6%,326,39.3%,145,0.7%,,,"1,340",15.8%,
Categories,6-8 SCH,775,-6.6%,394,8.2%,515,-4.1%,,,"1,684",-2.7%,
,9-11 SCH,294,-9.3%,21,162.5%,12,9.1%,,,327,-4.7%,
,12-14 SCH,93,10.7%,3,200.0%,3,50.0%,,,99,13.8%,
,15-17 SCH,2,-50.0%,,,,,,,2,-50.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,315,10.9%,149,25.2%,91,-12.5%,,,555,9.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","634
8","1.6%
-11.1%","86
0","65.4%
-100.0%","18
1","-10.0%
-66.7%",,,"738
9","6.0%
-30.8%",
,Full-Time,"1,076",-2.5%,509,17.0%,565,-0.4%,,,"2,150",2.1%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
