Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,178",-7.5%,325,0.9%,367,-3.4%,,,"2,870",-6.1%,
Gender,Female,"1,077",-4.0%,168,5.0%,164,1.2%,,,"1,409",-2.4%,
,Male,"1,101",-10.7%,157,-3.1%,203,-6.9%,,,"1,461",-9.4%,
Ethnicity,White,"1,741",-8.9%,227,-0.9%,160,-8.0%,,,"2,128",-8.0%,
,Black,116,16.0%,12,20.0%,14,40.0%,,,142,18.3%,
,Hispanic,204,-9.7%,24,-7.7%,25,92.3%,,,253,-4.5%,
,Asian,64,20.8%,4,33.3%,2,-71.4%,,,70,11.1%,
,American Indian,16,-15.8%,3,0.0%,1,-50.0%,,,20,-16.7%,
,International,21,-16.0%,52,10.6%,159,-5.9%,,,232,-3.7%,
,Unknown/Other,16,-23.8%,3,-25.0%,6,20.0%,,,25,-16.7%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,908,-2.3%,1,-50.0%,,,,,909,-2.4%,
,22-25,"1,151",-10.4%,178,6.0%,25,-13.8%,,,"1,354",-8.6%,
,26-30,84,-24.3%,103,-10.4%,154,-1.3%,,,341,-10.7%,
,31-39,25,19.0%,30,11.1%,151,0.0%,,,206,3.5%,
,40+,10,25.0%,13,30.0%,37,-15.9%,,,60,-3.2%,
Enrollment,1st Time in College,11,22.2%,,,,,,,11,22.2%,
Status,1st Time PB,6,200.0%,7,133.3%,,,,,13,160.0%,
,1st Time Graduate,,,17,-15.0%,5,-28.6%,,,22,-18.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,53,10.4%,,,,,,,53,10.4%,
,Readmitted,26,-13.3%,1,100.0%,0,-100.0%,,,27,-12.9%,
,Continuing,"2,082",-8.1%,300,0.3%,362,-2.7%,,,"2,744",-6.6%,
Tuition,Resident Tuition,"2,054",-7.4%,198,3.7%,134,4.7%,,,"2,386",-6.0%,
Status,Non-Resident Tuition,51,18.6%,16,-23.8%,23,-41.0%,,,90,-12.6%,
,Tuition  Exemption/Waiver,73,-21.5%,111,0.9%,210,-1.4%,,,394,-5.3%,
Residency,Texas Resident,"2,067",-7.9%,204,4.6%,139,3.7%,,,"2,410",-6.3%,
Status,"Non-TX, US Resident",90,4.7%,69,-13.8%,69,-10.4%,,,228,-6.2%,
,"Non-TX, Non-US Resident",21,-16.0%,52,10.6%,159,-5.9%,,,232,-3.7%,
SCH,< 6 SCH,746,-2.4%,103,7.3%,71,-2.7%,,,920,-1.4%,
Categories,6-8 SCH,886,-6.0%,214,5.4%,290,-2.0%,,,"1,390",-3.6%,
,9-11 SCH,344,-8.8%,8,-52.9%,4,-60.0%,,,356,-11.9%,
,12-14 SCH,176,-23.5%,0,-100.0%,2,100.0%,,,178,-24.9%,
,15-17 SCH,23,-34.3%,,,,,,,23,-34.3%,
,>17 SCH,3,-50.0%,,,,,,,3,-50.0%,
Ft/Pt:,Less Than Half Time,195,-3.5%,34,-19.0%,46,17.9%,,,275,-2.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","797
10","3.0%
25.0%","29
0","11.5%
-100.0%","17
1","21.4%
0.0%",,,"843
11","3.6%
10.0%",
,Full-Time,"1,176",-14.2%,262,3.6%,303,-7.1%,,,"1,741",-10.7%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
