Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,82,95.2%,,,,,82,95.2%,
Gender,Female,,,25,56.3%,,,,,25,56.3%,
,Male,,,57,119.2%,,,,,57,119.2%,
Ethnicity,White,,,66,135.7%,,,,,66,135.7%,
,Black,,,2,-33.3%,,,,,2,-33.3%,
,Hispanic,,,10,25.0%,,,,,10,25.0%,
,Asian,,,1,0.0%,,,,,1,0.0%,
,American Indian,,,1,100.0%,,,,,1,100.0%,
,International,,,2,0.0%,,,,,2,0.0%,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,0,-100.0%,,,,,0,-100.0%,
,22-25,,,31,55.0%,,,,,31,55.0%,
,26-30,,,23,155.6%,,,,,23,155.6%,
,31-39,,,13,44.4%,,,,,13,44.4%,
,40+,,,15,400.0%,,,,,15,400.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,26,420.0%,,,,,26,420.0%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,56,51.4%,,,,,56,51.4%,
Tuition,Resident Tuition,,,62,93.8%,,,,,62,93.8%,
Status,Non-Resident Tuition,,,4,33.3%,,,,,4,33.3%,
,Tuition  Exemption/Waiver,,,16,128.6%,,,,,16,128.6%,
Residency,Texas Resident,,,69,102.9%,,,,,69,102.9%,
Status,"Non-TX, US Resident",,,11,83.3%,,,,,11,83.3%,
,"Non-TX, Non-US Resident",,,2,0.0%,,,,,2,0.0%,
SCH,< 6 SCH,,,62,113.8%,,,,,62,113.8%,
Categories,6-8 SCH,,,16,23.1%,,,,,16,23.1%,
,9-11 SCH,,,4,100.0%,,,,,4,100.0%,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",,,43,186.7%,,,,,43,186.7%,
,Full-Time,,,39,44.4%,,,,,39,44.4%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
