Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,399",-8.0%,410,0.0%,70,0.0%,,,"1,879",-6.1%,
Gender,Female,748,-8.3%,190,-1.0%,25,0.0%,,,963,-6.8%,
,Male,651,-7.7%,220,0.9%,45,0.0%,,,916,-5.4%,
Ethnicity,White,"1,175",-9.3%,278,-4.5%,35,9.4%,,,"1,488",-8.1%,
,Black,23,9.5%,1,-83.3%,2,-33.3%,,,26,-13.3%,
,Hispanic,119,1.7%,24,41.2%,2,-33.3%,,,145,5.8%,
,Asian,61,5.2%,12,-40.0%,2,100.0%,,,75,-5.1%,
,American Indian,3,-66.7%,3,200.0%,,,,,6,-40.0%,
,International,14,-12.5%,90,30.4%,27,-6.9%,,,131,14.9%,
,Unknown/Other,4,0.0%,2,-66.7%,2,0.0%,,,8,-33.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,915,-5.6%,9,-25.0%,,,,,924,-5.8%,
,22-25,458,-12.4%,334,3.7%,2,100.0%,,,794,-6.1%,
,26-30,15,0.0%,51,-3.8%,24,-17.2%,,,90,-7.2%,
,31-39,10,11.1%,15,-16.7%,35,12.9%,,,60,3.4%,
,40+,1,-80.0%,1,-80.0%,9,0.0%,,,11,-42.1%,
Enrollment,1st Time in College,4,-50.0%,,,,,,,4,-50.0%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,169,15.0%,8,33.3%,,,177,15.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,19,-13.6%,,,,,,,19,-13.6%,
,Readmitted,5,-44.4%,0,-100.0%,,,,,5,-50.0%,
,Continuing,"1,371",-7.5%,241,-8.0%,62,-3.1%,,,"1,674",-7.4%,
Tuition,Resident Tuition,"1,360",-7.5%,303,-6.5%,19,18.8%,,,"1,682",-7.1%,
Status,Non-Resident Tuition,19,-5.0%,40,60.0%,1,-80.0%,,,60,20.0%,
,Tuition  Exemption/Waiver,20,-35.5%,67,9.8%,50,2.0%,,,137,-2.8%,
Residency,Texas Resident,"1,362",-7.7%,302,-7.1%,22,0.0%,,,"1,686",-7.5%,
Status,"Non-TX, US Resident",22,-24.1%,18,12.5%,21,10.5%,,,61,-4.7%,
,"Non-TX, Non-US Resident",15,-11.8%,90,30.4%,27,-6.9%,,,132,14.8%,
SCH,< 6 SCH,455,3.4%,184,6.4%,9,-30.8%,,,648,3.5%,
Categories,6-8 SCH,535,-15.5%,80,-18.4%,60,5.3%,,,675,-14.3%,
,9-11 SCH,204,-20.3%,62,-8.8%,1,100.0%,,,267,-17.6%,
,12-14 SCH,199,9.3%,84,18.3%,,,,,283,11.9%,
,15-17 SCH,5,-44.4%,,,,,,,5,-44.4%,
,>17 SCH,1,0.0%,,,,,,,1,0.0%,
Ft/Pt:,Less Than Half Time,97,193.9%,23,0.0%,3,-40.0%,,,123,101.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","479
0","-7.2%
-100.0%","115
1","27.8%
0.0%",0,-100.0%,,,"594
1","-2.5%
-50.0%",
,Full-Time,823,-15.2%,271,-8.4%,67,8.1%,,,"1,161",-12.6%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
