Summer 2007,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,569,-7.9%,198,-13.5%,362,7.7%,,,"1,129",-4.6%,
Gender,Female,310,-9.4%,78,-10.3%,114,15.2%,,,502,-4.9%,
,Male,259,-6.2%,120,-15.5%,248,4.6%,,,627,-4.3%,
Ethnicity,White,390,-10.3%,96,-17.2%,120,3.4%,,,606,-9.1%,
,Black,16,-27.3%,7,40.0%,2,100.0%,,,25,-10.7%,
,Hispanic,81,28.6%,11,-45.0%,22,10.0%,,,114,10.7%,
,Asian,53,-20.9%,8,-11.1%,14,0.0%,,,75,-16.7%,
,American Indian,2,-60.0%,0,-100.0%,4,100.0%,,,6,-33.3%,
,International,13,160.0%,75,0.0%,197,10.1%,,,285,10.0%,
,Unknown/Other,14,-33.3%,1,-50.0%,3,-25.0%,,,18,-33.3%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,360,-4.3%,2,100.0%,,,,,362,-4.0%,
,22-25,198,-12.0%,90,-15.9%,53,12.8%,,,341,-10.0%,
,26-30,8,-33.3%,65,-19.8%,207,14.4%,,,280,2.2%,
,31-39,2,-50.0%,28,0.0%,92,-4.2%,,,122,-4.7%,
,40+,1,100.0%,13,8.3%,10,-16.7%,,,24,0.0%,
Enrollment,1st Time in College,5,25.0%,,,,,,,5,25.0%,
Status,1st Time PB,1,100.0%,7,40.0%,,,,,8,60.0%,
,1st Time Graduate,,,2,0.0%,2,0.0%,,,4,0.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,4,-55.6%,,,,,,,4,-55.6%,
,Readmitted,4,33.3%,,,,,,,4,33.3%,
,Continuing,555,-7.8%,189,-14.9%,360,7.8%,,,"1,104",-4.7%,
Tuition,Resident Tuition,528,-6.7%,70,-17.6%,68,7.9%,,,666,-6.7%,
Status,Non-Resident Tuition,20,-16.7%,11,37.5%,15,-25.0%,,,46,-11.5%,
,Tuition  Exemption/Waiver,21,-25.0%,117,-14.0%,279,10.3%,,,417,0.0%,
Residency,Texas Resident,532,-6.8%,76,-12.6%,74,-3.9%,,,682,-7.2%,
Status,"Non-TX, US Resident",24,-44.2%,46,-31.3%,88,14.3%,,,158,-15.5%,
,"Non-TX, Non-US Resident",13,225.0%,76,1.3%,200,9.9%,,,289,10.7%,
SCH,< 6 SCH,223,-18.3%,53,0.0%,45,-4.3%,,,321,-13.9%,
Categories,6-8 SCH,241,2.6%,142,-18.4%,315,9.8%,,,698,0.3%,
,9-11 SCH,66,-24.1%,2,0.0%,1,0.0%,,,69,-23.3%,
,12-14 SCH,38,65.2%,1,100.0%,1,0.0%,,,40,66.7%,
,15-17 SCH,1,100.0%,,,,,,,1,100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,71,-22.8%,13,225.0%,12,-20.0%,,,96,-13.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","200
10","-2.0%
150.0%",13,-13.3%,8,60.0%,,,"221
10","-1.3%
150.0%",
,Full-Time,288,-9.4%,172,-18.1%,342,8.2%,,,802,-5.0%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,
