"Summer 2007
Veterinary         BIMS
Medicine           EPID LAMD TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS VTPH
Subtotal
General             GEST
Studies              TEAM Subtotal
Other -               AGBU
Special              BIOT
Populations       ENSM
FSTC GACD GENE MARM MDSC MEPS MSEN NUTR PHLT REEP TOXI WMHS
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,337,-2.9%,12,-25.0%,65,10.2%,46,-20.7%,,0,-100.0%,11,1000.0%,,21,23.5%,492,-2.0%,
,8,33.3%,,,0,-100.0%,0,-100.0%,,,,,,,,,8,0.0%,
,1,-66.7%,0,-100.0%,,,,,,1,100.0%,,,,,,2,-50.0%,
,,,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,4,0.0%,,,1,-66.7%,,,,,,2,100.0%,,,,7,-12.5%,
,2,0.0%,,,,,,,,,,,,,,,2,0.0%,
,3,-25.0%,,,1,0.0%,,,,,,5,66.7%,,,,9,12.5%,
,6,20.0%,1,0.0%,,,0,-100.0%,,,,5,-28.6%,,1,-50.0%,13,-18.8%,
,5,-37.5%,,,,,0,-100.0%,,,,6,-14.3%,,,,11,-35.3%,
,134,-2.2%,0,-100.0%,6,-53.8%,7,133.3%,,,,,,,2,-33.3%,149,-5.7%,
,14,-17.6%,2,0.0%,4,0.0%,2,100.0%,,,,8,-27.3%,,1,0.0%,31,-11.4%,
,1,0.0%,,,,,,,,,,,,,,,1,0.0%,
,4,-42.9%,,,,,,,,1,0.0%,,,,,,5,-37.5%,
,519,-4.1%,15,-31.8%,77,-4.9%,55,-15.4%,,2,-60.0%,37,19.4%,,25,8.7%,730,-4.9%,
,430,0.0%,52,-5.5%,125,38.9%,34,30.8%,,8,14.3%,4,-33.3%,,3,200.0%,656,6.7%,
,23,-59.6%,1,100.0%,5,-28.6%,1,-50.0%,,0,-100.0%,,,,,,30,-55.2%,
,453,-7.0%,53,-3.6%,130,34.0%,35,25.0%,,8,0.0%,4,-33.3%,,3,200.0%,686,0.6%,
,7,-50.0%,,,0,-100.0%,1,100.0%,,,,8,0.0%,,,,16,-30.4%,
,3,-72.7%,,,1,100.0%,0,-100.0%,,,,9,80.0%,,,,13,-31.6%,
,2,-50.0%,,,1,100.0%,0,-100.0%,,,,5,100.0%,,,,8,60.0%,
,11,37.5%,,,0,-100.0%,1,0.0%,,,,19,0.0%,,,,31,0.0%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,31,0.0%,2,100.0%,1,0.0%,2,-33.3%,,,,16,23.1%,,0,-100.0%,52,4.0%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,1,0.0%,,,0,-100.0%,1,100.0%,,,,6,100.0%,,,,8,300.0%,
,11,0.0%,,,2,0.0%,,,,,,17,-19.0%,,,,30,-11.8%,
,2,100.0%,3,200.0%,1,100.0%,1,100.0%,,,,22,15.8%,,,,29,38.1%,
,11,0.0%,1,0.0%,1,-50.0%,1,0.0%,,,,10,25.0%,,,,24,4.3%,
,5,0.0%,,,1,0.0%,,,,,,0,-100.0%,,,,6,-25.0%,
,,,,,,,,,,,,7,16.7%,,,,7,16.7%,
,12,0.0%,1,100.0%,,,,,,,,10,-37.5%,,1,0.0%,24,-17.2%,
,7,40.0%,,,1,100.0%,1,100.0%,,,,4,0.0%,,1,0.0%,14,40.0%,
,105,-7.9%,7,133.3%,9,-18.2%,8,-11.1%,,,,133,9.9%,,2,-33.3%,264,1.1%,
,"11,822",-6.8%,637,3.4%,"1,723",0.2%,604,-2.7%,,84,2.4%,"2,259",6.0%,,194,9.0%,"17,323",-3.9%,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,,,,,,,,,
